K5PCV5I.PV;K5PCV6I.PV
97.19177;97.35792
97.19177;97.46797
97.19172;97.24057
97.19167;97.36792
97.19167;97.48812
97.19161;97.38573
97.19157;97.32172
97.19151;97.36323
97.19141;97.34963
97.19135;97.38849
97.19135;97.29219
97.1913;97.38635
97.1913;97.29182
97.19109;97.37391
97.19099;97.37542
97.19089;97.3762
97.19073;97.34422
97.19068;97.47641
97.19047;97.37443
97.19036;97.37495
97.19032;97.46396
97.19016;97.24406
97.19016;97.37782
97.1901;97.37047
97.1901;97.28422
97.19006;97.33203
97.19005;97.28505
97.19;97.35234
97.18995;97.35271
97.1899;97.34719
97.18984;97.36588
97.18979;97.28844
97.18974;97.33151
97.18964;97.23286
97.18964;97.39151
97.18964;97.38969
97.18953;97.37052
97.18938;97.32037
97.18932;97.38687
97.18927;97.40021
97.18927;97.46864
97.18906;97.35016
97.1889;97.25755
97.18886;97.38224
97.1888;97.37802
97.18875;97.36229
97.18875;97.31969
97.18855;97.39229
97.18839;97.28031
97.18818;97.33172
97.18818;97.3563
97.18802;97.33489
97.18797;97.33052
97.18791;97.3336
97.18781;97.26463
97.18776;97.32838
97.18771;97.45786
97.18755;97.26135
97.1875;97.36687
97.1875;97.24755
97.18739;97.3736
97.18739;97.32271
97.18729;97.32849
97.18729;97.38198
97.18693;97.24646
97.18672;97.32094
97.18667;97.38271
97.18667;97.33286
97.18651;97.33651
97.18651;97.46088
97.18641;97.35271
97.18636;97.24448
97.18625;97.33208
97.18599;97.38297
97.18599;97.35208
97.18578;97.2439
97.18578;97.24557
97.18578;97.39339
97.18573;97.31427
97.18573;97.29656
97.18568;97.32953
97.18552;97.34834
97.18547;97.29188
97.18536;97.33703
97.18531;97.23656
97.18526;97.48318
97.18521;97.25802
97.185;97.46286
97.18495;97.34849
97.18495;97.325
97.18432;97.32943
97.18427;97.32453
97.18406;97.33312
97.18391;97.34511
97.18391;97.33802
97.18391;97.49724
97.18359;97.34599
97.18359;97.25021
97.18339;97.34708
97.18317;97.37791
97.18317;97.45536
97.18313;97.28036
97.18297;97.34078
97.18291;97.4
97.18266;97.34391
97.1826;97.33849
97.1826;97.34245
97.18245;97.34469
97.18234;97.27729
97.18234;97.2788
97.18229;97.27677
97.18224;97.32458
97.18224;97.24541
97.18224;97.48224
97.18214;97.22729
97.18208;97.27318
97.18193;97.38657
97.18188;97.26463
97.18188;97.49062
97.18182;97.26896
97.18177;97.24729
97.18172;97.33719
97.18172;97.25047
97.18172;97.28088
97.18166;97.28438
97.18166;97.45792
97.18156;97.48734
97.18146;97.39693
97.1813;97.34312
97.1812;97.33526
97.18094;97.34193
97.18094;97.46318
97.18089;97.26187
97.18089;97.2624
97.18073;97.39886
97.18057;97.26682
97.18057;97.27292
97.18052;97.32359
97.18052;97.22662
97.18052;97.48187
97.18037;97.26756
97.18031;97.35313
97.18031;97.33813
97.18026;97.33875
97.18011;97.4013
97.18;97.34161
97.17995;97.28349
97.17969;97.34156
97.17963;97.26052
97.17906;97.27734
97.17901;97.34406
97.17875;97.28141
97.1787;97.46021
97.17864;97.32932
97.17864;97.27464
97.17838;97.39547
97.17834;97.28906
97.17833;97.2701
97.17818;97.34782
97.17818;97.32536
97.17802;97.34547
97.17792;97.34599
97.17786;97.4076
97.17781;97.27198
97.17766;97.48187
97.1775;97.40469
97.17744;97.48828
97.17714;97.27969
