K5PC5CH.OP;K5T5_2.PV;K5F3.PV
55.39229;755.5578;3082.032
52.6;755.5474;3052.5
55.51979;755.5463;3040.516
55.69307;755.5349;3075.815
55.71365;755.525;3084.814
55.09807;755.5162;3068.23
55.49859;755.5135;3031.521
55.13906;755.5104;3079.76
55.3961;755.5104;3037.12
55.52964;755.5068;3083.264
56.39078;755.5042;3089.193
55.35021;755.4969;3082.892
55.24672;755.4828;3082.686
55.40531;755.4786;3075.573
55.35781;755.476;3078.516
52.63813;755.4708;3048.51
55.4662;755.4693;3088.516
55.49318;755.4672;3039.865
55.46912;755.4672;3038.474
55.34771;755.4656;3079.744
55.51479;755.4625;3042.686
55.37083;755.4599;3077.374
56.50964;755.4474;3086.796
55.37427;755.4453;3090.083
55.625;755.4443;3080.642
56.33464;755.4406;3089.548
54.63406;755.4391;3053.666
55.33974;755.426;3075.587
56.36864;755.4099;3090.325
55.57224;755.4052;3084.118
54.54104;755.3995;3060.168
55.55969;755.3964;3092.23
55.79109;755.3958;3068.479
55.09875;755.388;3070.181
52.78062;755.3792;3056.113
55.49776;755.376;3079.475
53.04948;755.3745;3060.146
54.20104;755.3734;3042.005
52.70229;755.3677;3049.819
56.5337;755.3594;3091.22
55.73265;755.3568;3089.529
56.29875;755.3505;3090.112
54.38172;755.3448;3027.119
54.59073;755.3359;3047.986
55.4224;755.3333;3048.938
55.33672;755.3302;3078.975
55.5837;755.3292;3078.847
52.64854;755.3276;3055.945
54.65146;755.3245;3060.458
52.6575;755.3234;3051.577
55.1501;755.3125;3076.562
55.31688;755.3094;3065.074
55.54063;755.3078;3081.579
55.27146;755.3073;3068.242
53.75349;755.3041;3036.441
56.41146;755.2922;3095.221
55.33651;755.2906;3058.811
56.41245;755.2864;3090.552
55.69239;755.2864;3041.592
55.32589;755.2823;3074.827
55.52375;755.262;3078.319
55.38036;755.262;3076.303
55.22354;755.2531;3080.302
55.69021;755.2505;3095.583
55.39495;755.2338;3079.43
55.35005;755.2333;3064.505
55.39271;755.2219;3033.687
55.51714;755.2208;3037.699
56.24458;755.2115;3092.744
54.30854;755.2115;3018.93
55.32354;755.2015;3080.547
55.28844;755.1885;3067.535
54.37068;755.1735;3009.057
55.24443;755.1646;3067.849
55.37234;755.1614;3030.261
55.45151;755.1609;3054.07
54.09286;755.1583;3047.12
53.14292;755.1536;3071.809
52.53792;755.1531;3039.251
56.41198;755.1464;3083.32
54.10698;755.139;3042.717
55.57833;755.126;3081.558
52.64412;755.1177;3061.826
55.43214;755.111;3076.603
52.66912;755.1099;3064.262
