K5PS14_2.PV;K5T6.PV;K5P10.PV;K5LCV1I.PV;K5F5.PV;K5T14.PV;K5TCV2I.PV;K5F6X.PV;K5T15.PV;K5P8.PV;K5T17.PV
4.250606;176.8425;4.277812;52.49062;38.24718;367.3387;41.69281;32.85829;121.095;3.972019;133.42
4.240125;176.895;4.2495;51.28719;36.59678;365.1281;41.6725;30.93377;122.4575;3.957281;133.4125
4.204988;170.6575;4.189875;46.06281;33.27455;354.7556;30.67625;27.25712;122.1275;3.924619;133.4125
4.259194;179.7063;4.302063;55.84687;40.34882;366.5606;41.67344;33.04671;122.6975;3.969394;133.4094
4.240556;176.8788;4.248219;49.54531;36.43077;365.2912;41.66875;30.97016;122.55;3.957731;133.4094
4.196213;169.4612;4.177781;45.56719;33.30162;353.6437;20.42344;26.3964;122.1537;3.917269;133.4063
4.240013;176.8663;4.245531;51.29187;36.59975;365.2294;41.68687;31.01822;122.4825;3.955875;133.405
4.239488;177.0163;4.245594;51.12281;36.64048;365.4206;41.67031;30.72454;122.5725;3.957394;133.4031
4.276237;176.3737;4.284531;50.10437;36.30504;365.7206;41.66875;31.15104;122.5825;3.99105;133.4025
4.247606;173.395;4.246063;48.94188;35.24521;359.9981;40.17844;29.11873;122.2262;3.961181;133.4006
4.245525;173.3013;4.248281;48.06344;35.84632;359.8725;40.17437;29.02752;122.21;3.961913;133.3988
4.245;173.2625;4.247656;48.06375;35.76282;359.8781;40.16094;29.06893;122.3063;3.959156;133.3987
4.241194;176.8325;4.249187;49.34375;36.36074;365.5669;41.66469;30.98129;122.5025;3.957225;133.3975
4.244344;173.22;4.246531;48.085;35.72783;359.4937;40.17719;28.99319;122.3438;3.958875;133.3975
4.258687;170.2575;4.230813;44.78531;32.45565;355.035;30.97656;27.10961;117.0837;3.977231;133.3963
4.246013;173.3375;4.248063;48.31343;35.72651;359.865;40.16625;29.0819;122.2125;3.956869;133.3925
4.205213;178.3087;4.256219;56.32594;40.88482;365.6119;41.68125;33.72438;122.2562;3.933919;133.3913
4.240912;176.9688;4.253156;50.16469;36.67438;365.2462;41.6675;30.97269;122.6012;3.9582;133.3913
4.246856;176.8725;4.276813;53.37594;38.37956;367.5206;41.67469;32.56463;121.0825;3.9618;133.39
4.207725;170.6775;4.194219;46.05812;33.35252;354.9919;30.67031;27.39858;122.09;3.927356;133.3844
4.268625;176.8037;4.268906;49.37469;35.62954;365.2819;41.68562;31.13521;121.8737;3.991069;133.3838
4.27575;176.2813;4.2825;50.09188;36.30482;365.8031;41.69719;31.08378;122.5875;3.981094;133.3825
