K5T7.PV;K5T8_1.PV
51.81094;62.43104
51.81094;67.5675
51.81062;61.03989
51.80979;67.54135
51.80948;63.06958
51.80927;67.47427
51.80875;63.05219
51.80844;67.84469
51.80761;67.47146
51.80677;62.91583
51.80677;67.57833
51.80281;67.50042
51.8;67.60167
51.7999;63.25052
51.79979;67.7951
51.79937;63.26802
51.79854;67.51938
51.79844;67.51271
51.79771;64.28709
51.79729;67.32031
51.79688;62.7799
51.79646;62.83302
51.79562;67.72875
51.79542;67.51917
51.79521;67.79855
51.79521;67.37781
51.79458;62.79281
51.79427;63.83427
51.79365;60.69635
51.79354;62.99042
51.79313;62.5374
51.79208;67.56959
51.79156;63.25594
51.79073;60.80104
51.79031;67.58313
51.7901;67.68114
51.78948;63.27958
51.78886;67.73927
51.78729;62.73656
51.78719;62.66521
51.78635;62.74385
51.78583;67.39229
51.78563;64.38448
51.78479;62.6801
51.78437;63.19594
51.78375;62.76479
51.78292;61.01635
51.78271;63.27792
51.78229;67.60542
51.78198;63.09042
51.78198;67.59406
51.78146;67.40218
51.78083;62.96167
51.78083;67.77885
51.77834;62.69448
51.77729;62.95927
51.77719;61.6124
51.77667;63.21417
51.77625;67.35532
51.77542;63.24469
51.77531;63.01333
51.7751;62.95854
51.77448;62.83927
51.77344;67.59
51.77156;63.25969
51.77156;67.34854
51.77114;67.53385
51.77031;67.69927
51.7701;67.55719
51.76958;67.51292
51.76906;60.95552
51.76875;63.2426
51.76865;62.96312
51.76823;62.99625
51.76802;64.91907
51.76792;63.81771
51.76781;62.92583
51.76698;67.38104
51.76688;63.01573
51.76677;62.71458
51.76615;63.04354
51.76469;63.09469
51.76385;67.79115
51.76333;64.91511
51.76208;67.7774
51.76198;67.59604
51.76167;67.51094
51.76156;61.20937
51.76062;62.94062
51.76031;67.37156
51.76;67.50438
51.75958;63.09188
51.75917;67.58208
51.75854;67.65511
51.75844;64.88292
51.75792;62.91521
51.75792;67.69719
51.75781;67.19292
51.75729;62.90739
51.75406;67.36177
51.75261;63.19792
51.75177;67.37823
51.75073;63.02698
51.74948;67.32031
51.74635;60.87771
51.74531;67.58636
51.74469;67.26865
51.74385;62.94375
51.74385;62.89542
51.74177;60.60469
51.74177;67.58281
51.74177;67.46271
51.74166;67.48093
51.73989;64.90792
51.73969;67.43771
51.73823;63.10094
51.73823;62.89458
51.73812;67.56364
51.7374;67.1826
51.73729;63.15052
51.73729;67.5026
51.73604;63.01823
51.73469;63.01469
51.73438;63.79979
51.73292;60.65396
51.73177;60.63083
51.73156;63.0551
51.73146;67.46886
51.72917;67.59521
51.72792;62.86521
51.7276;62.66854
51.72625;67.49
51.72604;67.53385
51.72573;67.66573
51.72344;67.30583
