K0P102_1.PV;K5T16.PV
4.047191;94.83594
4.098688;94.83594
4.080869;94.83604
4.028928;94.83604
4.066703;94.83636
4.029685;94.83646
4.032465;94.83698
4.013834;94.83708
4.032813;94.83719
4.09545;94.83719
4.048672;94.8373
3.996606;94.83781
4.070581;94.83791
4.126087;94.83907
4.031244;94.83938
4.055741;94.83958
4.067466;94.84062
4.090334;94.84073
4.119666;94.84115
4.052228;94.84167
4.082325;94.84292
4.063306;94.84292
4.081425;94.84302
4.081675;94.84312
4.033662;94.84323
4.076106;94.84333
4.051894;94.84344
4.076238;94.84396
4.017834;94.84406
4.114769;94.84427
4.069303;94.8448
4.028241;94.8451
3.990887;94.84646
4.020187;94.84677
4.105109;94.84781
4.048965;94.84823
4.076881;94.84896
4.048462;94.84906
4.070075;94.84937
4.014156;94.84948
4.008506;94.84948
4.070625;94.8499
4.026782;94.85062
4.076247;94.85136
4.032897;94.85167
4.023781;94.8525
4.069919;94.8525
4.081975;94.85281
4.017087;94.85291
4.035903;94.85291
4.018644;94.85427
4.055035;94.85427
4.091972;94.85438
4.017087;94.85469
4.074488;94.85552
4.130934;94.85635
4.005981;94.85656
4.025115;94.85719
4.042162;94.85781
4.020234;94.85812
4.075475;94.85812
4.035444;94.85833
4.098428;94.85865
4.083531;94.85906
4.030931;94.85917
4.085612;94.85938
4.087;94.85989
4.036706;94.86063
4.012372;94.86094
4.035685;94.86105
4.014594;94.86125
4.017253;94.86177
4.10389;94.86188
4.048191;94.86271
4.110785;94.86343
4.043528;94.86375
4.079147;94.86375
4.09096;94.86385
4.052275;94.86406
4.022706;94.86406
4.05475;94.86406
4.011672;94.86562
4.05415;94.86594
4.018372;94.86614
4.091684;94.86656
4.075544;94.86667
4.056244;94.86813
4.027297;94.86833
4.054159;94.86844
4.011231;94.86864
4.058906;94.86906
4.108244;94.86916
4.005087;94.86938
4.025706;94.86938
4.03756;94.86948
4.071566;94.86958
4.029359;94.87
4.009265;94.87052
4.051431;94.87063
4.096672;94.87063
4.074412;94.87104
4.057181;94.87198
4.064272;94.87229
4.015828;94.8726
4.04815;94.87302
4.098503;94.87344
4.031319;94.87386
4.059913;94.87386
4.031709;94.87406
4.098044;94.87427
4.050884;94.87448
4.046535;94.875
4.083291;94.875
4.078465;94.87511
4.023838;94.87573
4.125175;94.87583
4.045084;94.87635
4.065875;94.8776
4.007865;94.8776
4.083284;94.87812
4.077816;94.87854
