K5F5.PV;K5LCV1_1I.PV
30.15728;0.02921875
29.9411;0.03083333
29.96604;0.0340625
30.06515;0.0284375
30.22042;0.0421875
30.37847;0.03557292
30.52789;0.03098958
30.71787;0.03744792
30.5021;0.03484375
29.75988;0.0315625
28.24363;0.0346875
26.18316;0.04291667
26.27767;0.03828125
29.59381;0.03140625
30.83668;0.03932292
31.13041;0.04109375
30.58388;0.04552083
30.49121;0.04729167
29.48398;0.04838542
29.32573;0.040625
29.26658;0.04739583
29.2109;0.05109375
28.418;0.04791667
27.85937;0.04286458
27.76144;0.04869792
28.14688;0.04213542
29.26413;0.05505208
29.98207;0.04677083
30.0875;0.04354167
30.19339;0.04552083
30.16733;0.04583333
30.08587;0.05677084
29.43238;0.05723958
29.34437;0.05786458
29.13768;0.05552083
29.15645;0.06270833
28.96846;0.05119792
28.43932;0.05015625
28.49991;0.05270833
29.24295;0.05671875
29.40023;0.06229167
30.07826;0.059375
30.01452;0.06317709
29.76889;0.05026042
29.67359;0.06192708
29.66306;0.05390625
29.60807;0.05807292
29.58132;0.06364583
29.45471;0.05854167
28.45774;0.0596875
28.46034;0.06270833
28.79722;0.05963542
30.01322;0.06359375
30.32615;0.06369792
30.56862;0.06484375
30.57468;0.06098958
30.48167;0.07213542
28.69559;0.06171875
28.13573;0.05703125
28.07733;0.06817708
28.0906;0.06692708
28.03685;0.06958333
28.44231;0.06916667
29.01511;0.06447916
29.59811;0.07223959
30.83808;0.06614584
30.68109;0.06755208
30.47117;0.06640625
30.42289;0.066875
30.0591;0.07104167
29.32827;0.06348959
27.89353;0.06890625
27.38867;0.07453125
27.23596;0.06661458
28.95587;0.06911458
31.93606;0.0646875
32.70919;0.07109375
30.8732;0.06520833
29.34659;0.07114583
27.09643;0.06682292
26.69;0.06796875
24.50703;0.06692708
24.54215;0.07302083
26.08894;0.066875
27.9941;0.07666667
29.09221;0.0790625
29.14478;0.07885417
28.95911;0.07364584
28.79982;0.07875
28.65161;0.08276042
27.57774;0.07604167
27.4883;0.07895833
26.62143;0.0775
26.43482;0.07635417
27.2584;0.08114583
28.2619;0.07802083
28.38086;0.06984375
28.7029;0.0840625
29.3385;0.08005209
29.11396;0.08302084
28.92322;0.08546875
27.34661;0.07979167
27.05749;0.07864583
27.05317;0.07838541
27.12337;0.08645833
27.31063;0.09072917
28.03577;0.08677083
28.03172;0.08421875
27.83588;0.08697917
28.2199;0.08692709
28.50768;0.0875
28.49802;0.08588542
28.81842;0.07875
29.21658;0.09041667
29.19626;0.08947916
29.15811;0.07859375
28.45752;0.08302084
27.2378;0.08109375
27.21819;0.08385417
27.36064;0.08348958
27.55445;0.089375
27.5874;0.07942709
28.24418;0.08119792
28.85624;0.07901042
28.97481;0.07911459
28.75728;0.07744791
28.52234;0.07411458
