K5PS14_2.PV;K5P10.PV
4.279134;4.277693
4.279131;4.271812
4.279094;4.262927
4.279088;4.259229
4.279081;4.272739
4.279053;4.267656
4.279031;4.256891
4.279013;4.291328
4.279013;4.272073
4.279;4.29074
4.278934;4.276062
4.278878;4.27162
4.278869;4.270135
4.278803;4.307182
4.278766;4.270922
4.278756;4.267573
4.278659;4.272693
4.278615;4.304531
4.278572;4.302255
4.278538;4.268047
4.278538;4.28988
4.278528;4.289245
4.278516;4.268765
4.278491;4.273203
4.278491;4.270755
4.278488;4.264547
4.278416;4.275542
4.278388;4.306906
4.278378;4.311307
4.278362;4.306651
4.278359;4.279656
4.278325;4.268823
4.278316;4.268677
4.278297;4.270849
4.278291;4.297135
4.278269;4.28762
4.278263;4.292896
4.278263;4.27774
4.278247;4.265203
4.278234;4.267448
4.278225;4.267234
4.278175;4.270396
4.278169;4.276542
4.278134;4.276193
4.278131;4.297536
4.278125;4.257776
4.278084;4.278083
4.278016;4.268557
4.277997;4.266016
4.277878;4.269552
4.277831;4.271536
4.277812;4.27474
4.277797;4.288932
4.277791;4.293589
4.277781;4.293489
4.2777;4.312667
4.277691;4.270427
4.277606;4.28138
4.277594;4.294698
4.277569;4.286411
4.277547;4.27126
4.277475;4.282495
4.277462;4.289208
4.277428;4.267484
4.277406;4.279787
4.277338;4.303198
4.277319;4.272719
4.277294;4.290021
4.277278;4.271791
4.277269;4.264901
4.277228;4.288651
4.277203;4.273104
4.277163;4.270932
4.277147;4.296365
4.277141;4.271573
4.277128;4.26887
4.277119;4.264891
4.277116;4.289068
4.277112;4.259812
4.277091;4.287182
4.277081;4.288573
4.27706;4.290849
4.277022;4.264578
4.277006;4.284917
4.276941;4.304312
4.276937;4.30562
4.276887;4.288323
4.276878;4.25374
4.276847;4.289485
4.276816;4.293136
4.276794;4.291219
4.276787;4.264214
4.276731;4.27912
4.276728;4.268031
4.276722;4.273958
4.276703;4.295542
4.27669;4.300745
4.276656;4.292245
4.276647;4.259719
4.276625;4.298245
4.276613;4.298313
4.276581;4.290719
4.276553;4.267542
4.276525;4.257932
4.276519;4.264709
4.276515;4.273823
4.276494;4.259313
4.276472;4.288646
4.276453;4.286005
4.276425;4.255474
4.276406;4.267188
4.276391;4.280797
4.276303;4.289771
4.276288;4.26401
4.276275;4.294734
4.276269;4.302594
4.276269;4.273995
4.276209;4.283891
4.276185;4.293255
4.276094;4.259661
4.276081;4.263813
4.276072;4.275412
4.276038;4.264406
4.276012;4.280984
4.275997;4.285531
4.275994;4.272563
4.27599;4.275125
4.275938;4.25376
4.275928;4.272714
4.275913;4.288203
4.275885;4.292307
4.275825;4.265234
4.275819;4.26637
4.275691;4.286995
4.27566;4.287083
4.275631;4.276922
4.2756;4.265307
4.275447;4.282089
4.275397;4.272708
4.275388;4.276354
4.275331;4.267422
4.2753;4.267172
4.275294;4.271146
4.275153;4.266318
4.275113;4.304208
4.275091;4.255765
4.275091;4.281406
4.275025;4.288078
4.275025;4.286224
4.274919;4.275672
4.274903;4.299823
4.274897;4.28799
4.274859;4.288651
4.2747;4.269724
4.274678;4.264859
4.274566;4.268692
4.274475;4.273005
4.274431;4.263427
4.274428;4.278219
4.274253;4.274813
4.27425;4.263494
4.274212;4.282474
4.274209;4.250005
4.274184;4.262375
4.274107;4.264078
4.274031;4.262396
4.273994;4.285614
4.273906;4.287448
4.27389;4.266651
4.27375;4.30363
4.273744;4.308932
4.273735;4.28038
4.273722;4.293521
4.273685;4.275891
4.273681;4.288318
4.273656;4.291584
4.273628;4.287339
4.273625;4.281948
4.2736;4.282594
4.273594;4.283776
4.273584;4.261797
4.273512;4.260812
4.27345;4.252943
4.273447;4.286172
4.273416;4.267568
4.273407;4.305104
4.273397;4.26775
4.273356;4.28061
4.273356;4.292578
4.273297;4.279667
4.273272;4.268713
4.273234;4.249588
4.273188;4.262844
4.273078;4.274526
4.273066;4.278823
4.273013;4.262844
4.273009;4.309755
4.272997;4.266974
4.272934;4.255474
4.272925;4.26426
4.272906;4.257057
4.272903;4.280489
4.272894;4.270786
4.272891;4.256958
4.27284;4.265182
4.2728;4.260313
4.272797;4.279193
4.27279;4.267021
4.272788;4.266896
4.272788;4.286464
4.272707;4.278849
4.272694;4.267531
4.272659;4.280255
4.272609;4.272912
4.272597;4.25112
4.272584;4.303818
4.272572;4.288323
4.272569;4.296479
4.27255;4.259115
4.272453;4.267359
4.27244;4.273334
4.27244;4.290588
4.272409;4.25937
4.272391;4.280334
4.272369;4.258594
4.272325;4.272885
4.272297;4.277646
4.272285;4.278427
4.272263;4.278636
