K5P17_2.PV;K5P4_1.PV
11.54539;22.25844
11.54531;22.26875
11.54531;22.1975
11.54523;22.20969
11.54516;22.25813
11.54516;22.27531
11.54492;22.26687
11.54492;22.23844
11.54484;22.15625
11.54484;22.24281
11.54484;22.23438
11.54484;22.24969
11.54477;22.19125
11.54477;22.18031
11.54469;22.27875
11.54469;22.32906
11.54461;22.25688
11.54453;22.18281
11.54453;22.25844
11.54445;22.13281
11.54414;22.11938
11.54414;22.17219
11.54414;22.29
11.54406;22.14281
11.54406;22.24688
11.54398;22.1325
11.54391;22.1725
11.54375;22.19687
11.54375;22.26
11.54367;22.17781
11.54367;22.25969
11.54367;22.23094
11.54367;22.18625
11.54359;22.11844
11.54359;22.26125
11.54359;22.22
11.54359;22.21656
11.54336;22.11125
11.54336;22.29531
11.54336;22.19312
11.54328;22.12437
11.54313;22.26563
11.54305;22.25344
11.54305;22.24906
11.54305;22.23812
11.54297;22.13406
11.54297;22.07969
11.54297;22.22656
11.54297;22.31031
11.54289;22.13531
11.54289;22.17656
11.54289;22.245
11.54281;22.2425
11.54281;22.20344
11.54258;22.10781
11.54242;22.13969
11.54234;22.13781
11.54234;22.21781
11.54234;22.22406
11.54227;22.12313
11.54227;22.15219
11.54219;22.10813
11.54219;22.26094
11.54219;22.27344
11.54211;22.29219
11.54195;22.15531
11.54195;22.24156
11.54187;22.28281
11.54172;22.15375
11.54172;22.24
11.54172;22.29344
11.54164;22.10281
11.54164;22.2675
11.54156;22.21156
11.54148;22.22469
11.54125;22.18813
11.54109;22.24594
11.54109;22.265
11.54102;22.23406
11.54102;22.18969
11.54094;22.13094
11.54086;22.30312
11.54086;22.23594
11.54086;22.24031
11.54086;22.22094
11.54078;22.20594
11.54063;22.12687
11.54063;22.25469
11.54063;22.18719
11.54062;22.24531
11.54055;22.09937
11.54055;22.21094
11.54055;22.18844
11.54039;22.21031
11.54023;22.125
11.54023;22.27
11.54023;22.2275
11.54023;22.25625
11.54023;22.26
11.54016;22.24625
11.54008;22.15094
11.54008;22.21313
11.53992;22.20563
11.53992;22.23656
11.53984;22.11906
11.53977;22.12844
11.53977;22.18125
11.53977;22.25937
11.53977;22.17438
11.53969;22.27312
11.53969;22.23313
11.53969;22.23594
11.53969;22.22406
11.53961;22.26094
11.53961;22.25375
11.53961;22.185
11.53953;22.25906
11.53953;22.25875
11.53945;22.09781
11.53945;22.11437
11.53945;22.30719
11.53938;22.255
11.53938;22.15781
11.53922;22.25094
11.53922;22.26375
11.53914;22.11969
11.53906;22.29938
11.53898;22.11031
11.53891;22.275
11.53883;22.11875
11.53883;22.24281
11.53883;22.17844
11.53875;22.14688
11.53875;22.13375
11.53875;22.23344
11.53875;22.24813
11.53875;22.15625
11.53867;22.11094
11.53867;22.10969
11.53867;22.22594
11.53867;22.24844
11.53867;22.2125
11.53867;22.23438
11.53867;22.19125
11.53859;22.20687
11.53852;22.18031
11.53852;22.18312
11.53836;22.17531
11.53836;22.22313
11.53836;22.22
11.53836;22.21156
11.53828;22.22375
11.53813;22.2625
11.53813;22.26563
11.53805;22.15219
11.53789;22.26469
11.53781;22.2125
11.53773;22.18469
11.53773;22.22437
11.53766;22.28469
11.53766;22.24406
11.53758;22.1275
11.53758;22.16656
11.53758;22.18375
11.53734;22.27375
11.53734;22.18969
11.53727;22.10531
11.53727;22.1825
11.53727;22.20094
11.53727;22.22406
11.53719;22.1675
11.53711;22.19719
11.53711;22.25187
11.53711;22.18406
11.53711;22.22
11.53703;22.12031
11.53703;22.22219
11.53703;22.22062
11.53695;22.17
11.53695;22.24813
11.53695;22.24813
11.53672;22.2425
11.53672;22.29
11.53656;22.26375
11.53656;22.21781
11.53656;22.18375
11.53648;22.19406
11.53641;22.20875
11.53633;22.23156
11.53617;22.28031
11.53617;22.23313
11.53617;22.19687
11.53609;22.195
11.53602;22.11625
11.53602;22.22719
11.53594;22.28344
11.53594;22.25625
11.53594;22.25
11.53586;22.25594
11.53586;22.19875
11.53586;22.19375
11.53563;22.16406
11.53563;22.26219
11.53562;22.18656
11.53562;22.20563
11.53555;22.08687
11.53555;22.24656
11.53539;22.11625
11.53539;22.26063
11.53539;22.26406
11.53539;22.22375
11.53539;22.23969
11.53539;22.21219
11.53531;22.19813
11.53523;22.21375
11.53516;22.20812
11.53508;22.255
11.535;22.19938
11.53492;22.10656
11.53492;22.0925
11.53484;22.08562
11.53484;22.22375
11.53477;22.22469
11.53469;22.11094
11.53469;22.15656
11.53461;22.1325
11.53461;22.18469
11.53453;22.17156
11.53453;22.15156
11.53453;22.26875
11.53453;22.24375
11.53453;22.24125
11.53453;22.24719
11.53445;22.14406
11.53445;22.17438
11.53438;22.08906
11.53422;22.14344
11.53414;22.25687
11.53406;22.20438
11.53398;22.27031
11.53398;22.2075
11.53398;22.23781
11.53391;22.26375
11.53383;22.28125
11.53375;22.10094
11.53375;22.07844
11.53375;22.17687
11.53367;22.10938
11.53359;22.14469
11.53359;22.15875
11.53359;22.24156
11.53352;22.2425
11.53352;22.20125
11.53344;22.11969
11.53344;22.17438
11.53328;22.12125
11.53328;22.22812
11.53328;22.26031
11.53312;22.10188
11.53312;22.23344
11.53312;22.22094
11.53305;22.07125
11.53305;22.19469
11.53289;22.20344
11.53289;22.15875
11.53281;22.19656
11.53281;22.18687
11.53281;22.23313
11.53281;22.19062
11.53281;22.19219
11.53273;22.25125
11.53273;22.18906
11.53266;22.13719
11.53266;22.12156
11.53266;22.21781
11.53266;22.26312
11.53266;22.22031
11.53266;22.19219
11.53266;22.13313
11.53258;22.16125
11.53242;22.19531
11.53242;22.24375
11.53242;22.2525
11.53242;22.17125
11.53227;22.20844
11.53219;22.16594
11.53219;22.18344
11.53211;22.09656
11.53211;22.09531
11.53211;22.24688
11.53211;22.23938
11.53203;22.24281
11.53195;22.24844
11.53187;22.11031
11.53172;22.17625
11.53164;22.24125
11.53156;22.19625
11.53156;22.20437
11.53148;22.24469
11.53148;22.27219
11.53141;22.09687
11.53141;22.25594
11.53141;22.24625
11.53133;22.2325
11.53133;22.20687
11.53133;22.16313
11.53125;22.09156
11.53125;22.21375
11.53125;22.21219
11.53125;22.21406
11.53117;22.15094
11.53117;22.24187
11.53086;22.07844
11.53086;22.24688
11.53086;22.23438
11.53078;22.18219
11.53063;22.17
11.53062;22.09844
11.53062;22.14125
11.53055;22.12281
11.53055;22.11687
11.53055;22.2075
11.53047;22.12781
11.53047;22.12406
11.53047;22.26656
11.53047;22.17312
11.53039;22.19875
11.53039;22.16687
11.53031;22.19969
11.53023;22.22656
11.53016;22.18
11.53016;22.22156
11.53008;22.16063
11.53008;22.26375
11.52992;22.12844
11.52992;22.23344
11.52984;22.21844
11.52984;22.21688
11.52984;22.19531
11.52977;22.08375
11.52969;22.23906
11.52969;22.16969
11.52961;22.13406
11.52953;22.27031
11.52953;22.24344
11.52953;22.16156
11.52953;22.13719
11.52945;22.11406
11.52945;22.25094
11.52938;22.11031
11.52938;22.18125
11.52922;22.19687
11.52914;22.1975
11.52906;22.17594
11.52891;22.16656
11.52891;22.20219
11.52891;22.14688
11.52891;22.17188
11.52883;22.21
11.52883;22.25344
11.52883;22.23031
11.52883;22.19406
11.52852;22.18125
11.52852;22.13281
11.52852;22.23
11.52852;22.1725
11.52852;22.20719
11.52844;22.07531
11.52844;22.0925
11.52844;22.16469
11.52844;22.22156
11.52844;22.24594
11.52836;22.15844
11.52836;22.20406
11.52836;22.17063
11.52828;22.15375
11.52828;22.09469
