K5LCV1I.PV;K5F5.PV
33.43391;23.36909
36.535;23.36938
36.29354;23.36968
32.68349;23.37025
34.28614;23.37144
36.33286;23.37207
34.77599;23.37248
32.22005;23.37291
35.74479;23.37357
34.89443;23.37383
35.12526;23.37558
33.60401;23.37596
32.31109;23.37602
35.23896;23.37641
34.92875;23.37797
34.33974;23.37836
35.83271;23.37999
32.66823;23.38017
32.31609;23.38436
35.38859;23.38503
36.13234;23.38504
35.97922;23.38652
33.21188;23.3866
32.08068;23.38677
32.16104;23.38692
33.92271;23.38708
32.07969;23.38762
32.63844;23.38819
34.05135;23.38853
34.13578;23.38868
32.03745;23.38901
32.95438;23.38935
34.85703;23.38976
36.87849;23.38994
34.9288;23.39054
35.90021;23.39194
34.54781;23.39215
34.50474;23.39246
32.7862;23.39253
33.85792;23.39371
32.88713;23.3939
32.63255;23.39395
34.75766;23.39583
34.80026;23.39759
32.92984;23.39788
33.76011;23.39953
36.06734;23.39983
35.48521;23.40018
32.92969;23.40085
36.48787;23.40172
32.06437;23.40204
32.28333;23.40219
32.25948;23.40258
31.76557;23.40283
35.87505;23.40305
32.62953;23.40395
32.29302;23.40436
35.1926;23.4044
32.60516;23.40571
32.42042;23.40601
35.90187;23.40663
36.32302;23.4071
35.96891;23.40907
33.32568;23.4092
35.64135;23.4109
35.70604;23.4178
33.54063;23.41788
33.58292;23.4187
33.35703;23.41901
34.17016;23.41912
33.585;23.41948
34.70917;23.42172
33.60849;23.42234
35.39104;23.4229
32.93385;23.42416
35.10318;23.42466
32.42448;23.42687
34.00552;23.42771
33.73901;23.42801
32.6913;23.42905
32.75245;23.42966
32.81886;23.43042
33.37547;23.43042
35.37693;23.43099
33.26281;23.43156
34.06635;23.43176
33.33849;23.43293
34.65396;23.4333
36.55521;23.43365
32.88948;23.43366
32.29625;23.43538
32.88708;23.43544
36.13615;23.43557
34.3399;23.4373
34.10734;23.43812
34.12437;23.43849
33.08776;23.43977
32.8063;23.44087
32.54057;23.44334
33.5825;23.44402
32.28339;23.44594
31.7751;23.44668
32.81505;23.44769
34.45922;23.44853
36.50531;23.44858
36.18281;23.44958
34.63318;23.45127
36.57401;23.45214
36.06589;23.45226
32.40937;23.45233
35.70948;23.45293
34.84333;23.45528
33.495;23.45557
35.76833;23.45592
33.35109;23.45655
33.18338;23.45861
32.33224;23.45874
35.86911;23.45965
34.97161;23.46217
32.80505;23.46292
36.0825;23.46298
33.49187;23.46325
34.47854;23.46438
35.64635;23.46537
36.35948;23.46602
32.62714;23.46724
36.63391;23.4681
32.53297;23.46844
33.75026;23.46852
33.20037;23.47001
34.49797;23.47011
33.78042;23.47074
34.67901;23.4712
36.64422;23.47173
34.09974;23.4743
35.38422;23.47435
35.73708;23.47548
32.45552;23.47781
34.50255;23.47849
32.60239;23.47861
36.05589;23.48068
35.67188;23.48431
34.54589;23.48514
33.66938;23.48587
32.05193;23.48591
36.16651;23.48769
32.55927;23.48786
33.8874;23.48877
36.56406;23.48911
32.79245;23.49122
33.34063;23.49214
32.98458;23.49309
34.18573;23.4932
34.86693;23.49485
35.14969;23.49602
34.29047;23.49721
32.56594;23.49993
33.74427;23.50031
34.11359;23.50057
32.8963;23.50124
32.49781;23.50222
32.80661;23.50259
36.0838;23.50285
32.76615;23.50367
34.82641;23.50408
32.51729;23.50466
34.78687;23.50491
35.94156;23.50639
32.78521;23.50899
34.60417;23.51015
34.24755;23.51075
35.76688;23.51106
33.82891;23.51307
36.01349;23.51451
35.31813;23.51554
35.59391;23.51556
35.86901;23.51582
34.59026;23.51605
35.34099;23.51614
32.40313;23.51643
35.56865;23.5177
35.26765;23.51815
33.68552;23.51959
34.05943;23.52178
32.73865;23.52227
33.58714;23.52232
36.88115;23.52288
35.57297;23.52563
32.60193;23.52565
33.34031;23.52588
34.50489;23.52739
36.64771;23.52745
32.73719;23.52784
33.14859;23.52798
36.43031;23.52863
32.49677;23.52893
36.11083;23.52923
32.21229;23.53103
35.03568;23.5313
34.48625;23.5336
32.84917;23.53367
34.42505;23.53374
36.47359;23.53389
36.25084;23.53461
32.50109;23.53521
32.7463;23.53523
35.47302;23.53617
32.57151;23.53794
32.69849;23.53849
35.40578;23.53878
34.09406;23.53979
35.70167;23.53982
33.36911;23.54001
32.20234;23.54264
36.54854;23.54275
36.42969;23.54343
32.74615;23.54372
35.78672;23.54383
33.78036;23.54406
34.51583;23.54432
32.64641;23.5446
35.03104;23.54659
35.33958;23.54715
33.14875;23.54748
32.65844;23.54789
36.2424;23.54826
36.10912;23.55124
33.74802;23.55216
35.31797;23.55317
34.80703;23.5545
32.86911;23.55556
33.62427;23.55641
35.89537;23.55748
33.25568;23.5594
34.9226;23.56044
36.52146;23.56061
36.33854;23.56067
35.46313;23.56182
32.6575;23.56225
33.01011;23.56229
32.68745;23.56275
32.61792;23.5628
35.63427;23.56346
32.80693;23.56453
33.91636;23.56464
34.76141;23.56525
32.73271;23.56558
34.55188;23.56563
34.81364;23.56673
36.18307;23.56713
33.09354;23.56746
