K5PC5CH.OP;K5T4.PV;K5T18_2.PV;K5PC6CH.OP;K5T8_3.PV;K5T10_2.PV
39.70068;121.1425;81.62959;51.62865;111.2763;99.41552
37.73771;122.5076;79.92479;49.08422;112.9949;99.41427
32.19062;120.2646;77.58104;44.16214;114.386;99.41302
47.53969;126.8469;81.94875;58.45453;110.5839;99.41271
37.78865;122.0656;78.98937;49.1225;111.9951;99.40625
37.90974;122.4429;79.96584;49.06229;112.9456;99.40562
39.64083;121.121;81.67625;51.59161;111.245;99.40334
43.60828;123.5265;87.365;54.93469;109.5298;99.39427
37.62234;122.0749;78.99229;49.13505;111.9701;99.38885
37.03823;122.0774;79.6275;48.38005;112.9057;99.3876
38.0713;122.0207;79.05042;49.12891;112.0269;99.385
39.82375;121.1745;82.16396;51.70781;110.5596;99.38177
37.04271;121.9492;79.46021;48.33854;112.9549;99.37968
36.99479;121.9998;79.54604;48.41974;112.9255;99.37813
39.44963;121.0141;81.97625;51.64437;111.218;99.37281
43.74281;123.5749;87.30937;54.96188;109.5414;99.37271
43.75828;123.589;87.5302;54.94224;109.5297;99.36823
44.86844;123.6669;86.46167;55.97833;109.1547;99.365
43.95636;124.1482;87.75188;55.10359;109.4768;99.36021
44.86813;123.9324;86.52084;55.96823;109.161;99.36011
44.80807;124.0513;87.48708;56.02427;109.4852;99.35458
37.78109;121.9056;78.91312;49.11958;111.9591;99.35104
44.83541;124.0874;87.46938;56.00964;109.4718;99.35052
44.77156;124.1416;87.01229;55.99651;109.5432;99.34666
37.15511;122.2552;79.88792;48.41911;112.8524;99.34531
37.06323;122.1564;79.87354;48.40708;112.8325;99.34531
46.30266;125.1656;85.21313;57.65625;108.2334;99.34281
37.03052;121.9121;79.46083;48.39177;112.948;99.34156
37.09469;122.1139;79.45687;48.41354;112.9512;99.34042
34.11562;120.3742;77.97584;46.29485;115.8343;99.3399
44.82964;124.196;87.02646;56.00693;109.5334;99.33865
37.02713;122.2391;79.77917;48.42568;112.8681;99.33437
37.15359;122.0651;79.66354;48.41109;112.8106;99.33229
44.88484;124.3459;86.36333;55.9749;109.1793;99.32594
37.04922;122.1351;79.76021;48.36089;112.8941;99.32291
38.01708;121.723;78.80396;49.19239;111.9364;99.32063
44.75661;124.0266;87.42438;56.02312;109.5257;99.31927
37.13844;121.755;81.09834;49.23385;114.6595;99.31677
43.58344;123.5482;87.31438;54.94281;109.5493;99.31396
44.78547;124.0847;87.09021;55.98859;109.3315;99.31281
39.80984;121.1617;82.48542;51.70943;110.5141;99.3125
44.82198;123.9686;87.45563;56.01229;109.5379;99.31167
44.79359;124.0292;87.56;56.00834;109.5267;99.30698
44.90234;123.6423;86.16959;55.9514;109.0148;99.30646
44.79208;124.0846;86.38146;55.97365;109.1877;99.30625
32.16823;120.0159;77.48354;44.17177;114.3265;99.30604
44.88104;123.6073;86.11021;55.96984;109.1101;99.30469
44.83568;124.0084;87.18437;56.01062;109.5018;99.30115
44.78667;123.7797;86.43916;55.95698;109.087;99.30063
44.99068;123.9278;87.08937;56.00568;109.2726;99.28625
44.91797;124.0011;86.99604;55.99839;109.2862;99.28542
44.93026;124.0299;87.12167;56.02359;109.5211;99.28375
47.57276;126.6973;81.92834;58.42969;110.5065;99.28271
36.98281;121.978;79.68896;48.36677;112.789;99.2825
44.93339;123.7941;87.0725;55.97151;109.2298;99.27823
44.70151;123.6466;86.12875;55.94974;108.8227;99.27802
44.82156;123.7913;86.65875;55.98375;109.2096;99.27698
44.77932;124.0509;87.32896;56.00099;109.5006;99.27666
37.10115;122.1185;79.51146;48.3599;112.7982;99.27229
44.93661;123.5723;86.1475;55.96693;108.8509;99.27198
44.93396;123.7778;86.34;55.95396;109.066;99.27135
44.81359;123.9447;87.41646;56.02375;109.5163;99.2701
44.82;123.926;87.73708;56.00953;109.4922;99.26823
44.87386;124.0048;87.38438;56.0211;109.4819;99.26146
44.77172;123.6451;86.24563;55.95958;109.089;99.26135
38.22854;122.4095;86.38729;49.95771;109.6099;99.25896
37.03193;122.0005;79.64083;48.39688;112.7817;99.25656
44.75412;123.8181;86.70354;55.96047;109.1975;99.25573
37.01917;121.9841;79.67854;48.335;112.7655;99.25573
37.28625;121.8739;85.93313;49.24062;109.6482;99.25365
44.79338;124.1717;87.43604;56.03453;109.4936;99.25323
44.8338;124.049;87.17438;56.02135;109.4909;99.2524
43.42635;124.6018;81.8448;54.51745;109.5924;99.25114
39.66339;121.08;82.56895;51.65818;110.4731;99.24937
44.8451;123.8832;87.40187;56.01635;109.4984;99.24687
44.79177;124.0725;87.47771;56.02573;109.495;99.24667
44.8288;124.163;87.53271;56.02479;109.4941;99.24209
44.885;124.0391;87.47792;56.02406;109.4972;99.23937
44.9526;123.6302;86.32437;55.96172;108.9619;99.23666
44.8787;123.9817;86.99479;56.00463;109.4756;99.23187
44.73521;123.6125;86.44791;55.94062;109.0891;99.23104
44.88474;124.0191;87.03812;55.98656;109.2321;99.22916
36.99182;121.9141;79.68105;48.36208;112.7675;99.2226
43.55974;123.4655;87.35313;54.9375;109.5673;99.22229
44.79208;124.0975;87.01437;56.02042;109.4803;99.22094
37.0624;122.2325;79.54396;48.39578;112.7829;99.21833
39.60797;121.0067;82.6973;51.64463;110.455;99.21021
44.91349;123.7503;86.98334;55.98047;109.2258;99.2099
44.82099;123.5282;86.28833;55.94802;108.7602;99.2
46.26172;125.1432;85.07167;57.68151;108.1196;99.19813
37.17229;121.962;79.63438;48.44547;112.7664;99.19552
44.86864;123.9265;87.05083;55.99062;109.2186;99.19531
