K5PC5CH.OP;K5T4.PV;K5T7.PV;K5PC6CH.OP;K5T8_3.PV
30.48135;114.8702;49.68896;43.30844;108.0415
30.5276;115.0853;49.68458;43.29995;108.0393
30.48547;115.0052;49.70302;43.29995;108.0411
30.64922;115.0511;49.67729;43.29469;108.0369
30.57245;114.9951;49.67521;43.32084;108.0267
30.33703;114.9426;49.67854;43.29922;108.0371
30.42156;115.0484;49.67469;43.29313;108.0415
30.42745;114.9453;49.65615;43.29641;108.0372
30.52583;115.0867;49.65948;43.30812;108.0317
30.56964;115.0846;49.66604;43.31656;108.0474
30.53031;115.1909;49.6576;43.29156;108.0326
30.54443;115.4222;49.61198;43.295;108.0174
30.50208;115.2769;49.59167;43.31016;108.0005
30.61089;115.141;49.60812;43.30151;108.0079
30.52042;114.9761;49.59167;43.30307;107.9815
30.57083;114.9701;49.62052;43.30005;107.975
30.38245;115.0581;49.58021;43.31115;107.9792
30.40568;114.928;49.53292;43.29016;107.9844
30.50469;114.8861;49.50031;43.29005;107.999
30.38437;114.8978;49.47021;43.26885;108.021
30.47875;114.7972;49.44667;43.26578;108.0239
30.3687;114.8679;49.43979;43.28667;108.0104
30.5613;115.0167;49.48563;43.28781;108.0014
30.46062;114.8857;49.50969;43.29953;107.9832
30.46068;114.727;49.51573;43.29359;107.9665
30.35271;114.7295;49.50979;43.29302;107.9666
30.4351;114.9792;49.48844;43.28646;107.9661
30.37771;114.8505;49.50063;43.34573;107.9258
30.47479;114.7486;49.5176;43.31583;107.9181
30.48745;114.9894;49.48167;43.32734;107.9321
30.30005;115.2711;49.51937;43.32354;107.9173
30.43443;115.05;49.5124;43.31641;107.8967
30.46589;114.8765;49.47229;43.30651;107.8899
30.42682;114.9267;49.43114;43.2874;107.888
30.3201;114.8592;49.40958;43.3074;107.8969
30.32833;114.7636;49.36552;43.2875;107.9251
30.31698;114.7949;49.38052;43.3112;107.9199
30.50411;114.6787;49.38948;43.33974;107.9327
30.39161;114.7382;49.36646;43.3001;107.9174
30.46417;114.793;49.3375;43.29786;107.915
30.47844;115.0898;49.29573;43.31755;107.8916
30.42979;115.019;49.24031;43.29698;107.8821
30.39552;114.9195;49.15635;43.29417;107.8803
30.33479;114.7855;49.14323;43.27781;107.8808
30.50125;114.8678;49.20937;43.32161;107.881
30.38078;114.8249;49.26729;43.29036;107.8694
30.33974;114.8129;49.28469;43.29224;107.8662
30.40313;114.8245;49.26042;43.27161;107.8636
30.37536;115.1272;49.23417;43.27833;107.8495
30.4649;115.4234;49.16354;43.30333;107.8326
30.37276;115.1604;49.12396;43.33417;107.813
30.44156;115.0384;49.11802;43.32151;107.8116
30.3775;114.8892;49.10406;43.29547;107.7991
30.38391;114.6808;49.10448;43.28828;107.7636
30.44469;114.6432;49.12938;43.33531;107.766
30.48651;114.684;49.17302;43.32401;107.7673
30.45807;114.7406;49.15396;43.3026;107.773
30.46219;114.8381;49.12646;43.31083;107.7851
30.45109;114.9002;49.11417;43.33068;107.7904
30.39614;115.1157;49.12333;43.33724;107.8011
30.50354;115.2499;49.12062;43.31203;107.7994
30.46083;115.0947;49.15187;43.33495;107.8078
30.31958;115.0381;49.2375;43.27844;107.804
30.39521;114.8436;49.23042;43.28229;107.8095
30.32438;114.9352;49.24187;43.30537;107.7919
30.44005;114.8765;49.3199;43.30088;107.7887
30.41453;114.7323;49.35719;43.32391;107.8036
30.40557;115.0523;49.36052;43.30042;107.8043
30.42479;114.9259;49.37708;43.31703;107.8187
30.49214;114.8578;49.35917;43.28031;107.8141
30.43531;114.8132;49.3276;43.28932;107.8206
30.42042;114.8115;49.31531;43.31015;107.8265
30.41375;114.8518;49.3324;43.2951;107.8261
30.39792;114.839;49.26302;43.30989;107.8243
30.45818;114.8543;49.23812;43.28588;107.8242
30.36094;114.9523;49.22906;43.30614;107.8164
30.40125;114.8143;49.26615;43.27734;107.8181
30.32906;114.7932;49.22438;43.30005;107.8266
30.35927;114.9027;49.19021;43.28932;107.8151
30.48078;115.021;49.19115;43.30896;107.8181
30.4349;114.873;49.16677;43.28094;107.8031
30.41151;114.7268;49.19021;43.25969;107.8027
30.41578;114.6659;49.18802;43.29547;107.808
30.3037;114.643;49.17208;43.25948;107.7815
30.42943;114.7517;49.12448;43.2987;107.7836
30.37885;114.5557;49.12292;43.31172;107.7471
30.37255;114.5378;49.10635;43.27234;107.7208
30.36802;114.5219;49.12906;43.28167;107.7053
30.38531;114.6913;49.1376;43.32417;107.6791
30.40495;114.6433;49.11917;43.26245;107.6656
30.36474;114.6151;49.12156;43.30932;107.6609
30.4649;114.6145;49.11531;43.25974;107.6387
30.37401;114.7877;49.05062;43.25687;107.6379
30.36839;114.6902;48.98812;43.26109;107.6304
30.36302;114.7769;49.00479;43.28281;107.6105
30.35547;114.7312;48.98823;43.23365;107.6105
30.48443;114.6495;48.96854;43.28406;107.5978
30.4774;114.7536;48.94115;43.25948;107.5834
30.3963;115.0233;48.94698;43.26229;107.5857
30.28443;114.8149;48.94584;43.22859;107.5757
30.23604;114.6807;48.93063;43.22469;107.55
30.38891;114.6893;48.91052;43.25016;107.5383
30.28677;114.7129;48.86552;43.2612;107.517
30.40516;114.5192;48.85812;43.24792;107.4974
30.37719;114.4796;48.85125;43.24125;107.4598
30.3837;114.5255;48.85542;43.23073;107.4492
30.27516;114.3848;48.8125;43.22646;107.4466
30.3287;114.4294;48.83594;43.22734;107.4297
30.33193;114.3723;48.85052;43.25417;107.4068
30.34807;114.4168;48.87239;43.25646;107.3904
30.37432;114.785;48.86542;43.3261;107.3769
30.36797;114.6648;48.87448;43.30838;107.3628
30.34859;114.5086;48.90688;43.24833;107.3629
30.38187;114.8361;48.93333;43.2899;107.3507
30.25578;114.8184;48.91063;43.24266;107.3361
30.35344;114.6607;48.90792;43.23734;107.3233
30.37875;114.8061;48.91813;43.2488;107.3055
30.36583;114.8533;48.94011;43.25953;107.2952
30.34208;114.7315;48.91198;43.24677;107.3293
30.2763;114.6348;48.88927;43.2349;107.3495
30.26625;114.8519;48.86146;43.25417;107.3867
30.32521;114.7042;48.88531;43.255;107.412
30.38688;114.7383;48.87469;43.27536;107.4392
30.40516;114.5793;48.86448;43.26557;107.468
