K5P5_2.PV;K5BSB_2.PV;K5Q3.PV
-40.17552;55.78109;1.012745
-39.88711;57.68891;1.012818
-39.8336;56.24635;1.013245
-39.63008;57.54375;1.013531
-39.89518;57.115;1.013662
-41.58789;56.66896;1.013745
-39.4655;56.86297;1.013755
-40.87878;57.04771;1.013875
-40.27357;56.0963;1.013974
-38.77474;56.50135;1.014016
-40.39427;55.62865;1.014115
-41.2349;57.47448;1.014146
-39.35612;57.33286;1.01426
-40.25964;56.56484;1.014307
-40.66745;56.43141;1.014323
-41.26497;56.82776;1.014365
-40.23906;56.48734;1.014458
-38.37031;56.01568;1.014714
-40.18229;56.39443;1.014719
-40.10495;56.48771;1.01487
-37.57565;56.09864;1.015333
-40.24583;56.3061;1.015427
-40.91315;57.57104;1.0155
-39.74401;56.31562;1.015625
-39.65911;56.26474;1.015656
-37.66172;56.2211;1.015708
-38.92643;56.36089;1.015714
-39.83711;57.02469;1.015745
-37.52617;55.28974;1.016073
-40.5849;56.8574;1.016245
-39.92786;57.14661;1.016312
-40.172;56.83146;1.016375
-38.59063;55.59609;1.016479
-38.3082;55.64875;1.016589
-38.61615;56.29495;1.016792
-39.48516;56.86261;1.016839
-38.06953;57.31292;1.01688
-40.71289;56.30037;1.016943
-40.50677;55.83344;1.017109
-39.59831;57.00724;1.017182
-39.80951;56.87906;1.017245
-41.56289;56.74458;1.017396
-38.52721;57.6413;1.017547
-40.74831;55.66964;1.018323
-38.61888;56.5938;1.018698
-39.86328;57.50594;1.018802
-39.61432;56.6712;1.01901
-40.98646;56.85318;1.019073
-39.77917;56.71823;1.019089
-37.30495;56.39761;1.019286
-38.46614;56.53922;1.019318
-38.80664;56.45073;1.019583
-41.03281;56.1425;1.019667
-39.21966;56.71984;1.01987
-40.0526;56.22568;1.019917
-41.14115;55.6787;1.019927
-40.51354;55.78239;1.020057
-39.71888;56.14229;1.020182
-40.36966;57.13474;1.020385
-40.81068;55.63745;1.020406
-38.68476;56.21016;1.020474
-38.12904;56.4775;1.02074
-40.78776;56.71281;1.020838
-40.953;56.70287;1.020974
-40.68529;57.46016;1.021
-40.44167;56.62443;1.021167
-41.02331;55.86578;1.02125
-39.61654;57.27562;1.021391
-40.40091;57.03761;1.021635
-39.37917;56.86312;1.021927
-40.04349;56.72234;1.021943
-39.56641;57.41042;1.021953
-40.3638;57.67578;1.021974
-41.7724;56.67026;1.022104
-39.14518;56.23281;1.022203
-39.75677;57.13334;1.02238
-40.35976;56.46885;1.022401
-40.07474;55.63026;1.022573
-40.14323;57.77479;1.022667
-40.63594;57.15646;1.02274
-39.74166;57.40547;1.022745
-38.68138;56.00463;1.02287
-39.68502;56.89745;1.022969
-40.29219;56.41193;1.022974
-40.547;57.18641;1.023297
-40.35104;56.33333;1.02338
-40.25612;57.49036;1.023745
-39.19701;56.69219;1.023786
-38.61562;55.68849;1.02387
-40.11706;55.99953;1.023896
-40.33346;57.41161;1.024052
-40.04505;56.25823;1.024073
-40.58854;56.25224;1.024401
-40.19232;55.78437;1.024484
-39.47539;57.30297;1.024578
-42.51771;55.98922;1.024646
-37.39701;56.51495;1.024849
-38.77409;56.01448;1.025031
-39.06536;56.2713;1.025068
-38.14987;57.31052;1.025187
-39.54857;55.70297;1.025302
-36.39193;56.28339;1.025427
-41.47083;55.99859;1.025672
-39.7776;56.73906;1.025682
-40.51888;56.79287;1.025687
