K5PC5CH.OP;K5PC6CH.OP;K5F3.PV
55.5825;66.41698;3080.995
55.58229;66.41115;3083.229
55.58172;66.37901;3085.941
55.58151;66.47385;3075.224
55.58042;66.38515;3080.403
55.58042;66.40625;3068.778
55.57964;66.41093;3081.259
55.57953;66.40427;3087.743
55.57854;66.38177;3070.38
55.57833;66.44244;3081.558
55.57828;66.36219;3076.617
55.57818;66.26369;3006.964
55.57802;66.41156;3090.88
55.57755;66.3951;3092.728
55.5774;66.28922;3040.167
55.57729;66.32474;3080.766
55.57724;66.38364;3074.267
55.57698;66.2662;3032.22
55.57677;66.45198;3082.76
55.57677;66.45583;3080.197
55.57672;66.37422;3082.81
55.57578;66.37563;3081.848
55.57568;66.36115;3079.117
55.57312;66.38567;3082.636
55.57255;66.34448;3080.649
55.5724;66.37625;3075.166
55.57224;66.39094;3084.118
55.57125;66.26854;3043.888
55.57125;66.48058;3076.182
55.57109;66.4362;3074.427
55.57063;66.33469;3034.764
55.57057;66.3937;3079.387
55.57031;66.39265;3072.122
55.57005;66.37218;3082.597
55.56953;66.39619;3079.222
55.56739;66.46344;3083.621
55.56479;66.25958;3027.588
55.56443;66.3875;3101.577
55.56292;66.41032;3081.204
55.56266;66.37589;3080.794
55.56229;66.39313;3090.6
55.56036;66.31094;3081.537
55.55995;66.40911;3078.413
55.55969;66.39417;3092.23
55.55969;66.42354;3105.5
55.55964;66.36932;3072.787
55.55906;66.31776;3064.31
55.55854;66.42313;3085.163
55.55823;66.37401;3103.512
55.55792;66.37026;3086.185
55.5574;66.38515;3080.108
55.55734;66.45865;3079.694
55.55729;66.37583;3080.988
55.55677;66.38333;3085.918
55.55536;66.38958;3074.882
55.55516;66.38281;3076.449
55.55443;66.36646;3078.66
55.55214;66.46438;3077.671
55.55203;66.29614;3046.068
55.55198;66.39031;3079.007
55.55141;66.37458;3085.921
55.54948;66.29948;3035.1
55.54911;66.27834;3074.583
55.54911;66.34005;3090.2
55.54818;66.37948;3082.495
