K0P125.PV;K5Q2_2.PV;K5FCV4_2I.PV;K5P6.PV;K5PCV6I.PV;K5PCV17_1I.PV;K5P17_1.PV;K5PCV17_2I.PV;K5P17_2.PV;K5F3.PV;K5T20.PV;K5P110.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5HCV60I.PV;K5P16_1.PV;K5GKAL.PV;K5HCV61I.PV;K5P16_2.PV;K5FCV4_1I.PV;K5Q2_1.PV;K5P4_1.PV
65.4625;359.6563;5.38625;1.400392;97.71844;80.37969;9.536016;99.45187;9.178672;2727.918;14.42562;63.8695;37.9825;148.34;4.027631;97.96688;0.9460547;19.33534;97.67812;1.044953;100;335.5;18.00875
65.3555;352;5.25;1.402636;97.71188;80.36407;9.524219;99.44781;9.157031;2728.136;14.44969;63.7265;38.03031;148.4219;4.028812;97.87625;0.9567109;19.29265;97.65406;1.042352;100;341.75;17.98406
65.051;301.9375;5.302187;1.399151;97.73281;80.33344;9.784141;99.44469;9.4175;2768.563;14.41938;63.4745;38.88406;148.5106;4.026806;97.96875;0.9155156;19.37587;97.7325;1.038859;100;336.9688;18.51312
64.7745;342.6563;5.270937;1.401179;97.71156;80.39719;9.807343;99.43407;9.433437;2771.006;14.42625;63.2495;38.87375;148.5388;4.028194;97.91656;0.9388281;19.51797;97.71031;1.053094;100;346.4375;18.51375
64.648;321.2813;5.2825;1.400077;97.7125;80.32656;9.776954;99.44032;9.407656;2765.682;14.41781;63.0575;38.87469;148.6475;4.029394;97.935;0.9362813;19.67443;97.72719;1.045367;100;341.5625;18.45969
64.5075;377.6875;5.317812;1.400116;97.71188;80.33875;9.754922;99.45344;9.390157;2761.718;14.38844;62.912;38.87437;148.7594;4.031494;97.93282;0.9063203;19.74369;97.69469;1.047891;100;352.875;18.41438
64.868;321.8125;5.24625;1.400333;97.72157;80.3675;9.770782;99.44312;9.418828;2768.374;14.38844;63.1515;38.88781;148.8119;4.034194;97.96219;0.9674375;19.80064;97.77406;1.044742;100;356.6563;18.50125
65.002;311.2188;5.119375;1.400726;97.72063;80.35625;9.822422;99.43844;9.465;2776.716;14.39187;63.4525;38.87781;148.9056;4.036294;98.02843;0.9245156;19.75246;97.75125;1.034609;100;345.3125;18.615
65.336;377.9063;5.330312;1.400175;97.73187;80.36781;9.864297;99.45219;9.508047;2781.817;14.38219;63.6235;38.8725;149.0106;4.040213;97.92438;0.9261797;19.78656;97.76187;1.033648;100;350.8438;18.67312
65.3225;192.8125;5.22875;1.398029;97.72063;80.35781;9.886484;99.44719;9.527969;2784.583;14.38031;63.751;38.86438;149.0994;4.039819;97.96938;0.8969609;19.94166;97.77875;1.037688;100;343.1875;18.70375
65.1095;301.2813;5.225313;1.398246;97.72844;80.33282;9.86;99.42562;9.484062;2779.142;14.38188;63.5435;38.88906;149.1606;4.042631;97.90094;0.9496719;19.95384;97.71281;1.044328;100;348.0313;18.61719
64.759;307.4063;5.312812;1.400057;97.70125;80.31344;9.805469;99.43063;9.436328;2770.593;14.37656;63.219;38.88094;149.2731;4.037569;97.99469;0.9539531;20.0637;97.70812;1.043406;100;350.4375;18.5275
64.5255;331.875;5.30875;1.399525;97.7225;80.33188;9.956797;99.43188;9.602187;2796.708;14.37813;62.933;39.39688;149.3594;4.043025;97.9875;0.9288515;20.07293;97.77312;1.046477;100;345.1563;18.84031
65.636;248.9688;5.299375;1.44268;97.71156;80.34125;10.16078;99.44437;9.804375;2825.591;14.37187;63.877;39.48812;149.4394;4.045837;97.97187;0.9362031;20.39702;97.79344;1.090016;100;351.0938;19.245
67.7415;242.1563;5.235938;1.451244;97.70812;80.36;10.55758;99.44093;10.18688;2886.562;14.37844;65.9965;39.48594;149.5644;4.0332;97.94;1.000531;20.90354;97.73563;1.073391;100;341.0938;19.95063
69.0165;265.125;5.25875;1.449591;97.71875;80.33063;10.79844;99.42344;10.40547;2918.91;14.36719;67.305;39.46688;149.6812;4.033031;97.96906;1.011797;21.38098;97.84156;1.079961;100;356.375;20.38281
69.02;266.375;5.332812;1.450929;97.71313;80.37531;10.79336;99.43094;10.4143;2916.893;14.38406;67.4975;39.42906;149.8256;4.031888;97.95875;0.9577969;21.60087;97.81812;1.08132;100;351.375;20.31844
68.752;370.5313;5.205;1.450496;97.7225;80.30375;10.73211;99.44406;10.36414;2910.995;14.40219;67.2935;39.41438;149.9469;4.03395;97.93312;0.9633437;21.57458;97.80312;1.085961;100;347.875;20.2675
68.366;336.4688;5.311875;1.460242;97.7225;80.33218;10.6682;99.44625;10.28484;2899.858;14.39406;66.884;39.41969;150.0469;4.0305;97.96125;0.9674063;21.37284;97.74125;1.089242;100;352.1875;20.12625
67.958;332.6563;5.290313;1.49879;97.71125;80.35188;10.59555;99.43813;10.19711;2888.188;14.39969;66.441;39.42219;150.0994;4.031006;97.95813;1.012703;21.41363;97.84843;1.118867;100;347.9375;19.96437
67.3225;366.2188;5.311875;1.499754;97.72157;80.38625;10.48656;99.4325;10.10961;2876.981;14.40844;65.9675;39.42094;150.1625;4.027163;97.9;1.027086;21.26888;97.71656;1.108453;100;347.5;19.78531
66.9395;352.5;5.289063;1.501644;97.71407;80.34219;10.41297;99.42813;10.03789;2862.914;14.38719;65.538;39.42344;150.2831;4.02825;97.93282;0.9887891;21.2783;97.74062;1.125164;100;348.2813;19.65438
66.636;248.625;5.20375;1.500286;97.69094;80.32844;10.33805;99.4275;9.960625;2853.132;14.39188;65.171;39.43125;150.4406;4.019419;97.96938;0.9690391;21.18391;97.71188;1.114508;100;359.5938;19.52594
66.3785;382.625;5.310625;1.501329;97.72312;80.35625;10.29172;99.44781;9.921329;2845.846;14.36687;64.893;39.42969;150.5063;4.016794;98.03031;1.007539;21.14546;97.80625;1.109508;100;352.8438;19.43563
66.1845;289.2188;5.275;1.500443;97.72031;80.34062;10.25492;99.43906;9.883595;2840.536;14.3725;64.69;39.42188;150.5969;4.016363;97.96407;0.9807578;21.06124;97.81563;1.113312;100;349.375;19.37812
65.9665;309.5938;5.31125;1.499321;97.70031;80.33781;10.22211;99.42532;9.85125;2837.496;14.3975;64.5585;39.42031;150.6344;4.017694;97.95187;1.027852;20.91109;97.75094;1.124711;100;354.125;19.32438
65.819;337.5938;5.23375;1.501349;97.71593;80.36313;10.19086;99.44563;9.831797;2833.289;14.36625;64.4405;39.41594;150.69;4.015162;97.88094;1.061805;20.81497;97.74875;1.12;100;351.4063;19.31406
65.7745;365.7188;5.329062;1.50003;97.72343;80.4;10.18422;99.42812;9.823438;2831.891;14.39156;64.3675;39.42219;150.7619;4.010831;97.89625;1.071008;20.7353;97.74906;1.116274;100;353.1875;19.27063
65.617;332.5938;5.245;1.499302;97.72906;80.37312;10.16258;99.42281;9.798047;2827.336;14.37469;64.2495;39.41188;150.9044;4.005262;97.91875;1.01518;20.66026;97.79437;1.110445;100;353.4375;19.225
65.3785;179.5625;5.237187;1.500483;97.72157;80.30219;10.10641;99.43;9.740156;2819.167;14.345;63.941;39.41156;151.0044;4.005113;97.91344;1.011656;20.57942;97.86063;1.122734;100;358.25;19.09844
65.116;328.625;5.225625;1.50131;97.71188;80.37094;10.0568;99.42687;9.69961;2812.127;14.37562;63.6235;39.42219;151.0681;4.000612;97.93906;1.02;20.42432;97.83187;1.109125;100;346.0625;19.02938
64.5805;332.375;5.230312;1.498888;97.70844;80.29063;10.19375;99.42875;9.839141;2835.108;14.36344;63.2345;39.85469;151.1469;4.005413;97.98281;1.028312;20.37577;97.70437;1.110602;100;353.3438;19.29969
64.242;384.25;5.120313;1.501507;97.70187;80.33375;10.19797;99.43656;9.838281;2834;14.35969;62.772;39.93531;151.2063;4.003838;97.95187;1.007984;20.36993;97.73531;1.112484;100;354.875;19.295
63.932;383.9063;5.210938;1.501566;97.72188;80.33749;10.16227;99.44063;9.786797;2827.854;14.3825;62.4705;39.94219;151.2975;3.999187;97.95937;1.063695;20.34502;97.6875;1.121578;100;352.1875;19.18719
64.1815;380.6875;5.213125;1.501073;97.69;80.34062;10.18437;99.43968;9.841406;2833;14.37813;62.6825;39.92281;151.3719;3.997969;97.915;1.021172;20.23942;97.83781;1.128555;100;364.3125;19.25625
