K5PC5CH.OP;K5T4.PV;K5T7.PV;K5PC6CH.OP;K5T9_2.PV;K5T8_1.PV
55.58916;137.8193;51.52854;66.35552;26.19802;67.32729
55.4301;137.2833;51.48281;66.36636;26.95875;67.32687
55.52589;137.9192;51.50281;66.40166;25.73594;67.32479
55.58042;137.3372;51.69802;66.38515;27.34167;67.32458
44.41156;132.2096;53.00042;55.85432;27.42146;67.32281
41.61458;129.9495;53.99625;52.84787;27.79885;67.32188
55.29734;137.5432;51.5876;66.37843;26.31469;67.32188
55.73453;137.6926;51.59333;66.32938;27.29385;67.32125
55.35781;137.6534;51.74948;66.40229;27.19396;67.32031
55.5724;137.9203;51.79729;66.37625;26.50813;67.32031
55.48167;137.533;51.71917;66.4127;27.03437;67.32011
55.07443;137.5797;51.56511;66.40099;25.9175;67.31886
43.55583;130.9322;53.48615;54.68208;28.5926;67.31792
55.43073;137.5219;51.53865;66.3788;26.46656;67.31698
42.85588;130.5281;53.72511;54.0413;28.44948;67.31479
55.45151;137.8455;51.53625;66.37026;25.65344;67.31416
55.60578;137.6914;51.58969;66.38416;25.47667;67.30833
55.39781;137.6642;51.6726;66.37218;27.32906;67.3076
55.50333;137.7616;51.55083;66.38937;27.52802;67.30677
55.55854;137.8494;51.51177;66.42313;27.79125;67.30656
55.61177;137.2634;51.72344;66.38974;27.49948;67.30583
55.63547;137.1996;51.67198;66.39599;27.0224;67.30541
55.14755;137.3391;51.50375;66.38953;26.82667;67.30479
55.43005;137.6316;51.6549;66.39526;26.88115;67.30406
42.74969;130.4409;53.74062;54.04328;28.45906;67.30115
55.3387;137.4148;51.47271;66.36234;27.10615;67.30073
55.6013;137.9202;51.54302;66.38141;26.21146;67.30021
55.36323;137.4208;51.41958;66.3425;26.8299;67.30021
55.32354;137.7379;51.40729;66.37161;27.10521;67.29958
55.57672;137.6415;51.6399;66.37422;27.14125;67.2975
55.55677;137.5841;51.63729;66.38333;26.64635;67.29333
55.32484;137.3667;51.24604;66.37833;26.60177;67.29323
55.36042;137.1654;51.57604;66.36015;27.34042;67.29312
55.31958;137.9491;51.46989;66.45213;27.42094;67.29281
55.35844;137.4709;51.43198;66.37083;26.83823;67.29166
55.60146;137.4477;51.51677;66.46578;25.75375;67.28979
55.33417;137.5743;51.64135;66.39083;27.34438;67.28927
55.73635;137.6117;51.65198;66.37854;26.02865;67.28906
55.41677;137.6138;51.50792;66.34828;26.38219;67.28875
55.36911;137.6575;51.67385;66.37959;27.40219;67.28761
55.51109;137.5404;51.24156;66.37214;26.1301;67.28677
55.46786;137.275;51.255;66.33614;27.04885;67.28635
55.58172;137.2023;51.26167;66.37901;26.7876;67.28615
55.51667;137.5844;51.2724;66.38338;26.8076;67.28531
55.09807;137.5108;51.49792;66.34115;26.9475;67.2849
55.59969;137.5769;51.24802;66.34125;25.81812;67.28136
55.42224;137.5049;51.56958;66.40422;25.73979;67.28062
55.25844;137.4357;51.32792;66.37745;26.86583;67.28062
55.09875;137.5117;51.46073;66.36547;26.87292;67.27959
55.52365;137.4664;51.5225;66.41937;25.46646;67.27937
55.57312;137.4362;51.37271;66.38567;27.16927;67.27865
55.43177;137.7029;51.49125;66.36896;26.50792;67.27834
55.22255;137.7359;51.64365;66.35016;25.5325;67.2775
55.48265;137.2303;51.63833;66.39047;26.48896;67.27687
40.56969;129.6459;54.12448;51.94776;28.03521;67.27657
55.40213;137.6246;51.45208;66.39745;26.31292;67.27302
55.50911;137.7458;51.67437;66.38599;27.4949;67.27292
44.81823;132.3778;52.9375;56.21719;27.45844;67.27271
55.21479;138.1595;51.53239;66.38167;25.11354;67.27104
55.31688;137.6472;51.475;66.38156;26.51615;67.27052
55.40531;137.3548;51.39083;66.39099;27.10906;67.26969
55.80875;137.3104;51.74469;66.40677;27.03031;67.26865
55.36422;137.4889;51.44437;66.39177;26.4275;67.2676
