K5L1_3.PV;K5F5.PV;K5F6X.PV
-3.878766;28.8733;21.89596
3.878438;25.15178;19.89267
3.878109;36.58669;30.04873
3.877125;32.08176;24.88836
-3.876469;24.65619;18.44104
3.875156;26.16823;18.68071
3.872859;25.24289;19.43902
-3.871219;34.16362;26.72029
3.870234;22.05864;18.07533
3.869578;25.71664;20.50042
-3.868922;33.98096;26.88654
3.867609;23.09694;18.00074
-3.867281;25.95982;19.73266
-3.866625;26.759;19.8713
-3.866297;26.50001;21.09527
-3.865313;36.24123;30.57191
3.863344;25.2727;19.20305
-3.863016;24.34105;18.70317
3.862688;40.84896;29.7514
3.862031;27.71582;20.50868
3.861703;27.44613;21.47369
3.860391;30.40244;25.19558
-3.860063;33.15569;23.67744
3.85875;24.54788;19.03203
-3.857438;25.36339;20.14152
3.854484;21.90515;18.42212
3.854484;21.73212;18.34326
3.854156;35.04807;28.02349
-3.852844;24.47831;18.35851
3.852516;22.84789;18.26356
-3.851859;25.6496;18.59798
3.851531;23.47001;19.33374
-3.851203;27.92726;21.5736
-3.850219;27.97129;20.5636
3.849234;25.8053;19.57016
-3.846937;28.27964;19.73228
-3.846937;36.43132;29.29627
3.846937;23.62513;17.90719
3.846609;33.59461;31.72066
-3.844641;27.48459;20.76485
3.844312;22.09308;18.18787
3.840047;34.43844;27.34008
-3.839062;24.00747;19.32895
-3.839062;23.28347;18.63987
3.837422;23.6804;18.17109
-3.837094;25.65578;19.41706
-3.837094;27.03306;20.66741
3.836437;31.99892;25.36598
-3.836109;26.46634;19.83221
3.836109;24.73148;19.57407
-3.833156;23.9153;18.37514
3.832172;27.89971;21.61256
-3.831516;25.02823;20.33709
-3.830531;25.59557;18.30753
-3.827578;23.53389;18.19291
-3.82725;26.75086;19.31598
-3.82725;25.78573;19.72188
3.82725;23.37291;18.07172
3.82725;23.714;18.40818
3.825938;24.47782;19.07727
3.825938;22.82962;18.1827
3.825609;25.406;20.62284
3.824953;25.24951;20.05439
-3.824297;35.29726;25.67238
-3.823969;28.16925;22.22997
-3.823641;29.26304;21.86862
-3.822984;25.89818;19.72441
3.822984;25.72854;18.77946
3.822984;25.15349;19.19184
-3.821672;31.01262;22.59338
-3.818391;25.98987;20.44027
-3.818391;23.80627;18.52584
3.818063;28.07733;21.37525
-3.817406;23.62681;18.52849
-3.817078;25.77157;19.95558
-3.817078;26.90076;19.77594
-3.817078;25.03246;18.62804
3.816094;22.81019;18.09893
-3.815766;29.30917;21.75417
-3.814781;29.93834;22.38955
-3.814125;26.53392;19.59669
-3.813141;23.60686;18.2087
3.813141;24.50261;19.68151
3.810844;28.13573;21.02676
3.810844;26.38521;22.36664
3.810188;23.66547;17.80439
3.809203;24.48937;18.17846
-3.808875;30.33931;23.33838
3.808547;22.22174;18.23137
-3.80625;24.92159;18.61632
-3.805922;33.94914;26.36074
3.803953;31.63058;23.34837
-3.803297;25.31215;18.67988
-3.801328;38.0472;30.34807
3.800344;32.73922;26.91798
3.799688;33.44403;25.39465
-3.799359;24.72135;18.97541
-3.798703;23.87297;18.55933
3.797719;27.79092;21.85609
-3.795422;28.44657;21.76245
-3.794109;26.29287;20.08088
-3.793125;27.64252;18.37062
-3.791484;27.59369;20.0153
3.791156;22.94617;18.33467
-3.7905;26.91311;20.34625
3.790172;24.22374;18.18192
3.788203;24.65607;19.3329
-3.787547;27.16775;19.10914
-3.786562;28.59929;22.05874
