K5PS14_1.PV;K5P8.PV
4.190981;4.021781
4.190175;4.021762
4.198144;4.021762
4.191412;4.021762
4.189162;4.021762
4.182713;4.021744
4.192556;4.021744
4.192519;4.021744
4.189087;4.021725
4.195294;4.021725
4.193419;4.021725
4.18755;4.021725
4.194113;4.021706
4.195332;4.021706
4.1955;4.021706
4.192256;4.021688
4.192856;4.021688
4.193044;4.021669
4.187663;4.021669
4.191769;4.021668
4.196719;4.02165
4.1886;4.02165
4.195875;4.021613
4.187381;4.021613
4.192594;4.021594
4.192219;4.021594
4.194319;4.021594
4.191937;4.021575
4.192519;4.021575
4.190681;4.021575
4.18665;4.021556
4.190494;4.021538
4.188806;4.021537
4.18695;4.021537
4.19535;4.0215
4.1928;4.0215
4.198181;4.0215
4.189819;4.021481
4.1949;4.021481
4.190494;4.021481
4.192369;4.021444
4.194619;4.021444
4.189631;4.021444
4.192294;4.021406
4.189275;4.021406
4.188038;4.021406
4.184344;4.021406
4.194019;4.021388
4.189387;4.021387
4.197206;4.021369
4.194244;4.021369
4.187212;4.02135
4.188281;4.02135
4.189556;4.021331
4.191037;4.021312
4.191544;4.021294
4.190775;4.021294
4.193269;4.021275
4.184475;4.021275
4.18845;4.021275
4.196419;4.021237
4.189725;4.021219
4.189312;4.021219
4.198763;4.021219
4.195144;4.0212
4.188225;4.0212
4.188956;4.0212
4.193531;4.021125
4.192163;4.021125
4.190362;4.021125
4.193681;4.021106
4.194713;4.021088
4.1862;4.021088
4.190456;4.021069
4.188787;4.021069
4.198294;4.021013
4.184325;4.021012
4.1937;4.021012
4.189969;4.021012
4.189556;4.020994
4.190944;4.020994
4.188244;4.020994
4.190588;4.020975
4.199287;4.020975
4.189706;4.020975
4.183763;4.020975
4.192725;4.020938
4.19325;4.020937
4.194619;4.020937
4.189087;4.020937
4.189912;4.020919
4.192219;4.020919
4.18935;4.020919
4.195931;4.020881
4.189819;4.020881
4.189069;4.020881
4.18545;4.020844
4.186556;4.020844
4.192538;4.020844
4.192538;4.020844
4.193194;4.020825
4.194806;4.020825
4.191787;4.020825
4.197;4.020825
4.187719;4.020825
4.189406;4.020825
4.189013;4.020806
4.193494;4.020806
4.186106;4.020806
4.184137;4.020788
4.189556;4.020787
4.190119;4.020769
4.185731;4.020769
4.189256;4.020769
4.174744;4.020769
4.193944;4.02075
4.193156;4.02075
4.189013;4.02075
4.19115;4.020731
4.186388;4.020731
4.188769;4.020731
4.199419;4.020712
4.1859;4.020712
4.200413;4.020694
4.192369;4.020675
4.194938;4.020657
4.19115;4.020656
4.192181;4.020656
4.196157;4.020656
4.189669;4.020656
4.186894;4.020638
4.191469;4.020638
4.197488;4.020638
4.1943;4.020619
4.187325;4.020619
4.194562;4.0206
4.193831;4.0206
4.183481;4.020581
4.186931;4.020581
4.192875;4.020581
4.1949;4.020563
4.189369;4.020562
4.197881;4.020544
4.182338;4.020525
4.189369;4.020506
4.189706;4.020506
4.1895;4.020506
4.192519;4.020487
4.189087;4.020487
4.191506;4.020487
4.18125;4.020469
4.18935;4.020469
4.184438;4.020469
4.184756;4.02045
4.196981;4.02045
4.188656;4.020432
4.189538;4.020432
4.192931;4.020412
4.193475;4.020412
4.195819;4.020412
4.19055;4.020412
4.181794;4.020394
4.184213;4.020394
4.196531;4.020375
4.194094;4.020375
4.190063;4.020375
4.1895;4.020375
4.194131;4.020375
4.189369;4.020375
4.182525;4.020375
4.188768;4.020356
4.187943;4.020356
4.195163;4.020338
4.192425;4.020319
4.193906;4.020319
4.192031;4.020319
4.194881;4.0203
4.185431;4.020244
4.192125;4.020225
4.188188;4.020225
4.185431;4.020206
4.189931;4.020187
4.189688;4.020187
4.188938;4.020187
4.190344;4.020169
4.194019;4.02015
4.18845;4.02015
4.189875;4.020132
4.179018;4.020131
4.181531;4.020131
4.20015;4.020113
4.1955;4.020113
4.188581;4.020113
4.188262;4.020113
4.192087;4.020113
4.193925;4.020094
4.193812;4.020094
4.195069;4.020075
4.188881;4.020075
4.188075;4.020056
4.190588;4.020056
4.18065;4.020038
4.190794;4.020019
4.186707;4.020019
4.195087;4.019981
4.191825;4.019981
4.185713;4.019981
4.1934;4.019963
4.190156;4.019962
4.182881;4.019962
4.188037;4.019944
4.188619;4.019925
4.191375;4.019906
4.191881;4.019887
4.189875;4.019869
4.189125;4.019869
4.18815;4.019869
4.192313;4.019869
4.189106;4.01985
4.194263;4.01985
4.193644;4.01985
4.189612;4.019831
4.188506;4.019831
4.191525;4.019831
4.201313;4.019813
4.195125;4.019794
4.192369;4.019794
4.1868;4.019794
4.184681;4.019775
4.193344;4.019756
4.189087;4.019756
4.18965;4.019737
4.193587;4.019737
4.191187;4.019719
4.189556;4.0197
4.188787;4.0197
4.193606;4.019681
4.193644;4.019681
4.1898;4.019681
4.186106;4.019662
4.192631;4.019662
4.185206;4.019662
4.186162;4.019662
4.191806;4.019625
4.185357;4.019625
4.195575;4.019606
4.194131;4.019606
4.191844;4.019588
4.186331;4.019569
4.186931;4.019569
4.185506;4.019568
4.191657;4.01955
4.196588;4.01955
4.187044;4.01955
4.189613;4.019531
4.19025;4.019531
4.1877;4.019531
4.18815;4.019531
4.187456;4.019531
4.191;4.019512
4.188319;4.019494
4.192069;4.019494
4.188956;4.019494
4.190362;4.019494
4.195481;4.019456
4.182694;4.019437
4.187062;4.019437
4.186256;4.019419
4.19115;4.019419
4.189519;4.019419
4.19235;4.0194
4.186913;4.019382
4.190137;4.019381
4.180838;4.019343
4.183556;4.019325
4.196044;4.019325
4.192031;4.019306
4.189594;4.019288
4.19355;4.019288
4.186762;4.019288
4.192725;4.019287
4.190756;4.019287
4.179019;4.019269
4.193794;4.01925
4.186144;4.01925
4.192762;4.01925
4.1877;4.01925
4.186069;4.019231
4.189125;4.019231
4.192519;4.019213
4.189256;4.019212
4.188469;4.019194
4.186125;4.019175
4.185975;4.019175
4.185319;4.019156
4.184625;4.019156
4.185338;4.019156
4.178082;4.019156
4.187887;4.019137
4.186519;4.019137
4.189669;4.019119
4.185694;4.019118
4.181869;4.0191
4.195462;4.0191
4.181025;4.0191
4.187512;4.019082
4.188938;4.019081
4.184137;4.019081
4.188281;4.019063
4.189688;4.019063
4.198144;4.019063
4.186125;4.019063
4.19085;4.019044
4.193438;4.019044
4.1871;4.019025
4.192519;4.019025
4.182825;4.019025
4.184719;4.019025
4.192538;4.019006
4.189125;4.019006
4.190269;4.019006
4.18935;4.018988
4.185019;4.018988
4.188131;4.018987
4.184794;4.018969
4.186687;4.018969
4.191975;4.01895
4.189369;4.018931
4.1853;4.018931
4.1811;4.018931
4.186744;4.018894
4.198594;4.018894
4.193681;4.018894
4.186275;4.018894
4.195931;4.018894
4.189425;4.018894
4.186669;4.018894
4.193512;4.018875
4.190156;4.018875
4.190213;4.018875
4.186144;4.018875
4.176244;4.018875
4.188375;4.018837
4.198894;4.0188
4.186969;4.0188
4.193419;4.0188
4.187231;4.018744
4.188;4.018744
4.192688;4.018744
4.191;4.018725
4.190437;4.018725
4.1907;4.018725
4.192575;4.018706
4.190231;4.018706
4.186819;4.018687
4.189406;4.018687
4.184944;4.018669
4.188844;4.01865
4.190306;4.01865
4.194956;4.01865
4.189575;4.01865
4.195387;4.018631
4.19175;4.018631
4.192425;4.018631
4.187006;4.018631
4.192613;4.018612
4.19055;4.018612
4.188506;4.018612
4.19685;4.018594
4.189369;4.018594
4.190156;4.018594
4.189125;4.018594
4.186406;4.018594
4.18725;4.018594
4.180969;4.018594
4.182056;4.018575
4.1871;4.018575
4.189594;4.018575
4.190869;4.018556
4.187625;4.018556
4.179844;4.018556
4.192669;4.018538
4.188806;4.018538
4.19445;4.018538
4.187062;4.018538
4.183369;4.018518
4.192088;4.018518
4.181231;4.0185
4.184531;4.0185
4.18905;4.018481
4.177631;4.018463
4.188394;4.018444
4.188844;4.018444
4.187737;4.018425
4.188975;4.018425
4.183725;4.018425
4.1874;4.018406
4.197;4.018406
4.188881;4.018388
4.182;4.018387
4.186256;4.018369
4.188619;4.018369
4.187794;4.018369
4.186331;4.018369
4.190306;4.01835
4.184869;4.01835
4.187269;4.01835
4.186162;4.01835
4.171594;4.01835
4.186462;4.018332
4.184607;4.018332
4.19085;4.018331
4.186237;4.018331
4.187925;4.018312
4.185788;4.018312
4.190681;4.018294
4.195444;4.018294
4.187812;4.018294
4.184794;4.018256
4.190119;4.018256
4.190719;4.018256
4.1922;4.018256
4.189481;4.018238
4.1865;4.018238
4.185825;4.018238
4.193906;4.018219
4.191563;4.018219
4.192631;4.0182
4.191937;4.018181
4.189875;4.018163
4.188694;4.018163
4.183744;4.018162
4.18965;4.018144
4.191206;4.018125
4.186406;4.018125
4.192312;4.018106
4.195931;4.018106
4.185843;4.018106
4.188881;4.018087
4.189388;4.018087
4.192762;4.018069
4.1856;4.01805
4.191487;4.018031
4.187737;4.018031
4.18335;4.018013
4.187269;4.018013
4.188056;4.018013
4.191638;4.018013
4.177481;4.018013
4.194319;4.017994
4.190756;4.017994
4.185019;4.017993
4.180856;4.017975
4.183725;4.017956
4.190325;4.017938
4.190925;4.017938
4.188993;4.017919
4.191957;4.0179
4.185619;4.0179
4.189387;4.017881
4.186969;4.017881
4.189031;4.017862
4.189688;4.017825
4.184756;4.017807
4.188656;4.017806
4.192237;4.017787
4.18875;4.017787
4.186256;4.017787
4.189369;4.017787
4.179844;4.017787
4.192088;4.017769
4.190006;4.017769
4.185244;4.017769
4.187044;4.017769
4.190531;4.01775
4.189481;4.01775
4.183744;4.017731
4.191656;4.017713
4.191038;4.017694
4.190137;4.017694
4.189781;4.017675
4.187831;4.017675
4.17675;4.017675
4.192725;4.017656
4.190606;4.017656
4.186406;4.017656
4.189087;4.017637
4.187119;4.017619
4.187888;4.017619
4.182787;4.017619
4.189744;4.0176
4.184456;4.017581
4.193719;4.017562
4.189594;4.017562
4.1919;4.017544
4.182094;4.017544
4.183106;4.017525
4.195706;4.017525
4.185637;4.017506
4.187363;4.017506
4.189013;4.017506
4.1865;4.017488
4.190025;4.017469
4.189463;4.017468
4.192031;4.017468
4.181344;4.017468
4.192594;4.01745
4.177856;4.017431
4.186219;4.017431
4.1853;4.017413
4.191;4.017413
4.186987;4.017412
4.19085;4.017412
4.18275;4.017394
4.191113;4.017394
4.186013;4.017394
4.179188;4.017394
4.18125;4.017375
4.179075;4.017375
4.185488;4.017356
4.188169;4.017356
4.188787;4.017337
4.181363;4.017337
4.191319;4.017319
4.192631;4.017319
4.190269;4.017319
4.1835;4.0173
4.188581;4.0173
4.192237;4.0173
4.188488;4.0173
4.178662;4.0173
4.191619;4.017282
4.190719;4.017281
4.189312;4.017281
4.191957;4.017262
4.184175;4.017262
4.1754;4.017262
4.187438;4.017244
4.18815;4.017244
4.185956;4.017225
4.187325;4.017206
4.188713;4.017206
4.188469;4.017188
4.184813;4.017188
4.178662;4.017187
4.187288;4.017169
4.187457;4.017169
4.191506;4.01715
4.186144;4.01715
4.187081;4.01715
4.19085;4.017131
4.190456;4.017131
4.178475;4.017131
4.185637;4.017112
