K0P125.PV;K5PCV4I.PV;K5P4_1.PV
66.8505;43.03521;21.53906
66.81416;43.03401;21.52177
66.91158;43.0375;21.54859
66.44633;43.94552;21.85099
66.45333;43.9439;21.84276
66.553;43.99479;21.86203
66.85717;42.96792;21.47698
66.45766;44.22469;21.92943
66.79916;43.03859;21.52734
66.5475;43.94563;21.85542
66.89616;43.03588;21.54297
66.77825;42.96542;21.44823
66.899;42.99115;21.49
67.33608;42.29573;21.32813
66.45983;44.07932;21.88802
66.48742;44.00037;21.85
66.41625;43.9626;21.85833
66.994;42.97287;21.49505
66.74059;43.0363;21.49958
67.63058;41.90891;21.29891
66.98341;42.96745;21.49813
66.45108;44.06458;21.88974
66.75642;42.96557;21.42469
67.0305;43.03823;21.5725
66.7575;43.92662;21.92229
66.41292;43.9936;21.82979
66.94542;42.97161;21.4762
66.1415;44.41974;21.95031
66.76358;43.03667;21.50458
66.78425;43.36354;21.78479
66.84392;43.8588;21.92672
66.85934;42.96474;21.45703
66.83425;43.03453;21.51365
66.57025;43.44281;21.61281
66.838;42.97276;21.4688
