K5T6.PV;K5F5.PV;K5F6X.PV;K5T17.PV
177.5912;39.5276;32.97063;132.1513
177.59;39.55588;32.8181;132.3512
177.59;38.82609;32.064;132.0175
177.59;38.61721;32.31999;132.0625
177.5887;39.95147;32.8103;133.0425
177.5887;38.45736;32.70247;131.9094
177.5863;38.60953;32.49462;131.9781
177.5825;37.63585;32.81211;133.7156
177.5825;39.05721;32.79077;132.0437
177.5825;38.48005;32.92486;131.7894
177.5825;38.95623;33.22641;132.2712
177.5825;38.14878;32.44118;132.3494
177.5813;38.09741;32.92511;132.28
177.5813;38.51671;32.73276;131.8712
177.5788;38.6212;32.48758;131.9812
177.5788;38.5638;32.38707;132.0963
177.575;37.95514;32.93013;132.4825
177.5737;35.15437;29.93402;131.6206
177.5725;38.93409;33.11863;132.235
177.5688;38.45221;32.79615;131.92
177.5675;38.66859;32.88948;132.4713
177.5675;37.68974;30.34019;133.2931
177.565;40.37221;33.37787;132.9119
177.565;40.18117;32.64808;131.5119
177.565;38.78678;32.21453;131.9831
177.5638;37.78598;33.0147;132.4306
177.5638;38.50708;32.88258;132.4113
177.56;39.87258;32.71749;131.5281
177.5587;38.94923;32.86881;132.4619
177.5587;38.54391;32.85057;132.4069
177.555;35.82339;29.90232;131.3794
177.5525;39.01621;32.80336;132.0425
177.5513;37.70458;33.1297;134.0556
177.5513;38.51578;32.74716;132.4275
177.5513;38.45;33.09759;131.8262
177.5513;38.11197;32.47956;132.3794
177.5488;38.75702;32.94038;131.8013
177.5488;39.65437;32.72827;131.7081
177.545;38.68006;32.90033;131.8075
177.5437;39.06819;32.70922;132.0969
177.5437;38.52086;32.86168;131.8038
177.54;38.82839;32.57582;132.0431
177.54;38.08936;32.39637;132.3712
177.5375;38.80266;32.49691;132.0738
177.5362;38.78299;32.83963;132.3169
177.535;39.85364;32.57834;133.0531
177.535;39.05776;32.76337;132.0087
177.5338;38.01526;32.89653;131.8975
177.5313;39.11155;32.60861;132.0469
177.5313;38.60104;32.84796;132.4162
177.53;37.59272;32.97952;132.1138
177.53;38.10699;32.44505;132.385
177.5287;35.16428;29.82607;131.6356
177.525;39.59764;32.98588;132.1281
177.525;38.76033;32.54669;132.045
177.525;38.62082;32.31074;132.0781
177.5238;38.86902;32.46767;132.0775
177.5225;38.95655;32.58927;132.0894
177.5225;39.96572;32.72504;132.1425
177.52;38.80403;32.17887;131.9775
177.515;38.15967;32.98351;131.8875
177.5113;37.68028;30.51249;133.2181
177.51;38.62891;32.45191;132.0462
177.5087;38.6509;32.80491;131.7956
177.5063;39.08364;32.79277;131.9881
177.5062;38.0055;32.65218;131.9631
177.505;39.09443;32.64681;132.0919
177.505;39.12323;32.40655;132.0462
177.505;37.72482;33.21463;133.9913
177.505;38.8752;32.55198;132.0444
177.5038;39.14241;32.58245;132.0031
177.5038;37.56911;33.10233;132.0694
177.5038;38.87238;32.60466;132.085
177.5038;38.06918;32.45451;132.3537
177.5025;38.83963;32.63121;132.0775
177.5025;38.02981;32.78313;131.9044
177.5;35.16387;29.84376;131.645
177.4975;35.86296;29.86024;131.3763
177.4975;39.64756;32.67987;131.66
177.4975;38.49196;32.93102;131.8875
177.4962;38.27329;33.13778;132.1744
177.495;39.0354;32.71779;132.0781
177.495;39.04316;32.722;131.9594
177.4925;38.35402;32.55548;132.3794
177.4875;39.85035;32.68084;133.0606
177.4875;38.79182;32.79077;132.0431
177.485;35.87305;31.36341;133.6913
177.4837;39.07936;32.69391;132.02
177.4825;38.87385;32.46731;131.9994
177.4825;38.78938;32.48781;132.6662
177.4775;35.81402;29.82982;131.3394
177.4775;38.98915;32.94768;131.9306
177.4763;37.81382;32.7858;132.3625
177.475;38.80645;32.61388;132.0369
177.4725;38.0409;32.68526;131.9162
177.4713;39.84539;32.68687;131.5356
177.4713;38.89391;32.73225;132.0488
177.4713;38.81284;32.6404;132.7275
177.4688;38.09704;32.87444;132.3569
177.4688;38.98242;32.79969;131.9619
177.4675;39.58479;32.76363;131.6519
177.4675;38.04335;33.09511;132.2544
177.4675;38.45925;32.56815;131.9594
177.4638;38.87436;32.50123;132.5844
177.4637;38.83942;32.56455;132.5319
177.4625;40.01519;32.65162;131.49
177.46;38.17397;32.66579;132.0894
177.46;38.74455;32.88079;131.8256
177.4588;39.11693;32.64784;131.9619
177.4575;38.83645;32.65526;132.6381
177.4575;38.97143;32.25073;132.48
177.4563;38.86341;32.89033;131.8838
177.4563;39.6729;33.03038;132.0938
177.455;38.66069;32.7937;131.845
177.455;39.67394;33.0514;132.0887
177.4538;38.80044;32.82228;131.89
177.4525;38.75582;32.48244;132.0281
177.4512;38.90097;32.36409;132.5219
177.45;38.83064;32.57644;132.6913
177.445;35.71089;29.39374;130.3394
177.445;37.59814;32.9051;133.65
177.4438;37.71018;33.12555;133.9469
177.4438;38.92194;32.50202;132.0656
177.4425;37.68685;30.38824;133.1431
177.4413;38.07409;32.3596;132.3506
177.44;38.88268;32.52296;132.5994
177.4388;38.10088;32.37621;132.3681
177.4375;39.94897;32.79593;132.1119
177.4362;38.81731;32.36629;132.1313
177.4362;38.91428;32.5452;132.5725
177.435;35.75061;29.37438;130.3312
177.4337;35.70525;29.45446;130.2394
177.4337;38.06192;33.0469;132.27
177.4325;35.04205;29.8841;131.645
177.43;40.41797;33.34539;132.8631
177.43;38.10982;33.02433;132.2625
177.43;35.53859;31.33817;133.6413
177.4288;39.16523;32.63055;131.9331
177.4288;38.67634;32.89433;131.8175
177.4288;38.77628;32.13699;131.9869
177.425;38.9699;32.98601;131.9125
177.4238;38.75346;32.40855;131.975
177.4212;40.41116;33.35675;132.8087
177.4212;38.58936;32.65847;132.7369
177.4187;37.56021;32.56542;132.3694
177.4175;37.74793;32.82904;132.3087
177.4162;38.04446;32.3607;132.3875
177.415;38.79334;32.50283;132.0056
177.4137;35.706;29.49731;130.2519
177.4113;38.82932;32.3178;132.13
177.4088;37.56097;33.05677;132.04
177.4075;38.07147;33.08983;132.2312
177.4063;38.16078;32.70651;132.0994
177.4012;35.75693;29.88087;131.3288
177.3988;40.06496;32.56721;131.4538
177.3962;34.90769;29.93532;131.6825
177.3938;38.042;32.38221;132.3775
177.3925;35.70964;29.43692;130.38
177.3925;35.71149;29.39555;130.31
177.3913;39.21217;32.74303;131.9012
177.39;38.13522;32.99432;132.1537
177.3887;35.05098;29.5643;130.44
177.3887;39.8717;32.71247;133.0344
177.385;38.05559;33.05714;132.2413
177.385;37.57724;32.9777;132.0287
177.385;39.68608;32.97645;132.0825
177.385;39.00222;32.7211;132.0831
177.3838;38.98577;32.60997;132.0894
177.3837;39.62955;32.67444;131.645
177.3825;38.24547;32.92847;132.1187
177.38;38.68318;32.66278;132.7256
177.38;38.77269;32.72675;132.705
177.3788;35.20451;29.52231;130.43
177.375;38.69928;32.28321;131.9594
177.375;38.76479;32.47126;131.9919
177.3737;38.98224;32.25803;132.4094
177.3725;39.2693;32.58216;131.8844
177.3712;35.54429;31.28605;133.6031
177.37;34.82692;29.98269;131.6981
177.3662;39.8602;32.59346;131.4394
177.365;37.73062;33.06873;133.8794
177.365;39.87058;32.64082;131.4706
177.3587;38.20574;32.42488;132.09
177.3587;40.12154;32.79462;132.0562
177.355;39.19477;32.52348;131.8587
177.3538;36.54319;29.48286;130.1875
177.3525;37.76221;32.86549;132.2869
177.3513;39.05832;32.35067;132.4406
177.35;39.0771;32.4721;132.0813
177.3475;38.86003;32.33992;132.1269
177.345;38.63362;32.26666;132.0294
177.3438;39.01842;32.22033;132.3819
177.3438;37.62636;30.40336;133.105
177.3425;38.62011;32.35537;132.0394
177.3425;38.82949;32.37252;131.9394
177.3387;34.9782;29.71185;130.4756
177.3375;37.70922;30.5324;133.0456
177.33;39.58582;32.72887;131.6738
177.3288;35.76445;29.7281;131.3206
177.3288;34.94935;29.62447;130.5006
177.3288;38.72576;32.30731;131.9544
177.3275;39.21109;32.61078;131.8419
177.3238;38.80326;32.33024;132.1294
177.3237;38.16098;32.43573;132.0619
177.3237;37.69706;32.94987;133.6044
177.3225;36.70729;29.5487;130.1431
177.3188;37.73333;32.95743;133.8244
177.3188;39.6804;32.61273;131.4219
177.3125;39.84356;32.79515;133.0231
177.3125;40.16974;32.92631;132.0388
177.3125;38.06728;32.46604;132.3594
177.3112;39.67142;33.00533;132.0606
177.31;38.02613;32.79329;132.1756
177.31;38.76202;32.35032;131.9413
177.3087;38.0518;32.43979;132.3544
177.3075;39.72309;33.0125;132.045
177.3075;38.72794;32.63141;132.0737
177.305;38.034;32.46578;132.0663
177.3038;38.2301;32.93745;132.0994
177.3038;38.62473;32.57548;132.7206
177.3013;38.10654;33.04628;132.0219
177.2988;34.9768;29.51191;130.5488
177.2975;37.6826;32.94402;132.2106
177.2962;37.29608;32.4886;132.3306
177.295;40.36577;33.22671;132.7813
177.2925;38.94959;32.3925;132.3244
177.2912;38.98299;32.23062;132.3606
177.29;38.18193;32.96533;132.1956
177.2887;35.80673;29.76431;131.305
177.2863;38.65752;32.19352;132.0688
177.285;38.00893;32.3831;132.3456
177.2825;34.92413;29.97922;131.7181
177.2825;38.02119;32.49242;132.7081
177.2813;39.73097;32.72387;133.0206
177.28;37.52549;32.94238;131.9669
177.2787;35.29335;30.12033;131.4012
177.2787;35.79272;29.77117;131.2988
177.2762;38.92219;32.46899;131.44
177.2762;35.57825;31.13279;133.59
177.275;38.09019;32.66107;132.0587
177.2725;39.69285;32.90995;132.0456
177.2675;39.24058;32.58727;131.7813
177.2663;36.68214;29.46867;130.1469
177.2663;39.60811;32.73455;131.6394
177.265;34.9002;29.84069;131.7688
177.26;37.6816;32.93744;133.7575
177.2575;37.90186;33.04527;132.1775
177.2575;40.01078;32.98469;131.9794
177.2563;37.935;32.37172;132.3644
177.2562;37.72041;30.57353;132.9913
177.2538;35.3502;29.91935;131.445
177.2513;38.74511;32.19342;131.9462
177.25;39.02403;32.37922;132.3087
177.2487;38.68423;32.1233;132.0481
177.24;37.06163;32.91822;133.5275
177.24;38.11003;32.72545;132.0688
177.2375;38.76273;32.42916;132.1081
177.2363;37.66462;32.91079;132.175
177.2325;35.39809;30.25412;131.3875
177.2325;39.634;32.6883;131.6488
177.2313;37.89395;32.40122;132.6212
177.2287;34.93145;29.72174;131.7844
177.2275;35.3942;29.81512;131.5425
177.225;35.40099;29.89532;131.46
177.2238;40.35172;33.2346;132.7269
177.2238;37.91455;32.82007;132.1431
177.2238;39.78252;32.86404;132.0269
177.2175;39.67419;32.92268;132.0419
177.2162;35.04431;29.67497;130.55
177.215;35.47281;29.81091;131.4962
177.215;37.53384;32.9108;131.9219
177.215;38.07793;32.77737;132.0688
177.2125;35.84286;29.55464;131.2538
177.2112;35.45126;30.1104;131.3469
177.21;37.83363;32.83598;132.0963
177.2075;36.65315;29.42882;130.1169
177.2075;39.33111;32.76735;131.41
177.2063;38.72727;32.31256;131.9175
177.2025;38.08216;32.51031;132.3469
177.2012;35.45888;30.21002;131.3587
177.2012;39.28744;32.65386;131.7813
177.2;37.95034;33.14839;131.9981
