K5F5.PV;K5F6X.PV
35.40327;29.4166
35.40297;28.38753
35.40291;25.72978
35.39824;25.68929
35.39717;27.15731
35.39626;29.26897
35.39498;27.85514
35.39359;28.51572
35.39354;28.4299
35.39328;25.71557
35.39307;27.31374
35.39281;25.77472
35.38869;25.85905
35.38632;28.40295
35.38552;28.34816
35.38143;26.07928
35.38071;28.91764
35.37969;26.53817
35.3756;32.10343
35.37363;28.90294
35.37283;27.86882
35.37184;28.2419
35.37008;27.91503
35.36917;25.78557
35.36568;27.45832
35.36438;28.6248
35.36243;28.03242
35.36154;28.61913
35.35887;29.13244
35.3569;29.24836
35.35229;28.6659
35.35214;25.22054
35.35177;26.00233
35.35174;25.6744
35.35147;26.7366
35.35116;28.79263
35.35112;29.19135
35.35004;25.32569
35.34942;25.26315
35.34373;25.73899
35.34357;27.83886
35.34109;27.93258
35.34071;27.57608
35.34063;27.86596
35.33776;28.31778
35.33329;27.85969
35.33323;25.76526
35.3306;28.20113
35.32281;25.878
35.31694;26.93211
35.31606;25.66908
35.31555;28.18049
35.31528;25.70764
35.31509;25.60081
35.31395;27.4343
35.31211;27.68529
35.3116;28.51375
35.30973;25.82206
35.30877;27.17948
35.30873;25.58245
35.30832;25.64538
35.30822;25.75148
35.30566;27.77275
35.30509;25.72689
35.30423;28.82529
35.30328;29.15914
35.30107;29.06039
35.30052;27.8156
35.30027;25.71448
35.3;26.00542
35.29974;28.4268
35.29926;27.78507
35.29746;25.90332
35.29726;25.67238
35.29709;28.337
35.29687;25.39436
35.29652;26.51276
35.29454;28.12793
35.29338;28.18843
35.29284;28.17962
35.29225;28.35023
35.29043;28.03395
35.28715;25.68153
35.28552;25.6186
35.28471;28.16485
35.28411;26.73355
35.28056;29.04417
35.27885;25.6807
35.2762;28.7873
35.27517;28.23792
35.27477;27.541
35.27451;28.26833
35.27409;28.15752
35.27303;25.78436
35.27015;25.91295
35.2691;26.75437
35.26885;28.05984
35.26743;25.77633
35.26329;27.53774
35.26092;25.80286
35.2608;25.74841
35.25953;25.93075
35.25859;28.70049
35.25726;25.73184
35.25614;25.67699
35.2559;28.03008
35.24882;25.87555
35.24483;27.71746
35.24419;28.28535
35.24387;28.58071
35.24249;28.21317
35.2419;26.70138
35.23995;25.66527
35.23989;28.24644
35.2396;25.98097
35.23776;28.97605
35.23568;27.66466
35.23491;27.58743
35.23465;27.40801
35.23392;25.66003
35.23389;31.98566
35.229;25.56765
35.22678;27.55516
35.22488;27.70009
35.22427;27.64925
35.22267;25.85287
35.22248;26.8688
35.21821;26.04177
35.21801;28.16432
35.21551;26.77918
35.21529;26.59218
35.21399;25.83049
35.21225;27.97288
35.21108;27.66065
35.21037;28.35953
35.20787;28.8808
35.20735;25.39309
35.20502;29.00073
35.20322;28.44137
35.20154;27.68006
35.20114;25.66946
35.20012;25.68108
35.1992;27.18279
35.19897;25.51425
35.19749;28.0545
35.19558;27.94325
35.19475;28.27456
35.19405;25.80587
35.19291;28.14003
35.19285;25.26574
35.18981;28.66031
35.1886;28.21786
35.18795;25.28812
35.18779;25.5702
35.18693;27.38702
35.1865;25.75798
35.18639;25.74331
35.1846;28.2969
35.18357;25.8131
35.18311;25.8354
35.18278;27.565
