K0P125.PV;K5Q2_2.PV;K5FCV4_2I.PV;K5P6.PV;K5PCV6I.PV;K5PCV17_1I.PV;K5P17_1.PV;K5PCV17_2I.PV;K5P17_2.PV;K5F3.PV;K5T20.PV;K5P110.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5HCV60I.PV;K5P16_1.PV;K5GKAL.PV;K5HCV61I.PV;K5P16_2.PV;K5FCV4_1I.PV;K5Q2_1.PV;K5P4_1.PV
67.85828;344.9723;5.738866;1.00562;95.3251;70.926;6.920529;98.36151;6.735546;2357.623;-9.02742;65.06725;31.86087;149.2336;4.020572;97.79161;0.6627887;16.84298;98.03367;0.7572521;10.44207;349.4975;13.08426
67.85277;575.0304;10.7112;1.254193;95.57275;70.93031;8.626503;98.58331;8.398649;2641.725;-6.985637;64.73539;35.47266;161.6406;4.035214;98.96957;0.8391796;18.84758;98.04043;0.9414347;10.42739;618.5053;16.04244
67.83204;372.1979;5.688241;0.8126912;95.1294;70.81817;5.56668;98.26041;5.418845;2100.274;-8.570292;65.47039;29.0394;150.24;4.007051;97.82761;0.5293927;15.07233;97.93044;0.6176095;10.61948;370.5537;10.69063
67.82982;401.2326;5.653253;0.9952369;95.23244;70.96069;6.844504;98.43399;6.663749;2331.495;-6.632894;65.24632;31.7637;152.8536;4.017117;97.90182;0.6600021;16.67174;97.90331;0.7513258;10.21178;405.6145;12.93638
67.82398;425.8379;5.500992;1.04826;95.25182;70.87531;7.014243;98.34106;6.814418;2370.028;-8.357993;64.85197;32.23635;156.9661;4.032139;97.89334;0.6934963;16.90796;97.9199;0.789571;10.39394;441.1388;13.22171
67.81237;374.0694;5.452773;0.961855;95.30343;71.08994;6.600744;98.52753;6.412368;2281.057;-4.282274;65.32332;31.21904;153.5907;4.01045;97.64197;0.6380478;16.29383;97.98666;0.7251237;10.59959;386.3451;12.56525
67.81232;401.6503;5.626309;0.9751335;95.43513;70.90926;6.745114;98.32833;6.556445;2309.775;-5.181957;65.08888;31.55265;156.2642;4.011627;97.85715;0.643814;16.48385;97.9376;0.7350958;10.3074;410.2474;12.79847
67.80704;411.8367;5.43504;1.036205;95.51985;70.91532;7.165004;98.3394;6.964212;2388.957;-5.822679;64.94559;32.48252;155.8001;4.017379;97.84883;0.6861883;17.04054;97.92716;0.7795798;10.33037;421.8715;13.49527
67.78818;410.7408;5.577915;1.062823;95.52275;71.15894;6.958134;98.48213;6.748696;2343.381;-4.747329;65.06076;32.01686;158.1119;4.017564;97.83311;0.7116579;16.67502;98.00702;0.7987913;10.26114;417.2033;13.12655
67.78749;389.785;5.664983;0.8000886;95.27136;70.76968;5.729615;98.21219;5.581515;2134.533;-8.289595;65.37634;29.52426;148.8271;4.001865;97.81982;0.5195606;15.37524;97.96593;0.6095024;10.56308;385.5856;10.99599
67.77984;410.407;5.555571;1.074108;95.62216;70.9166;7.360598;98.3422;7.154176;2421.88;-4.957895;64.93119;32.83207;157.6666;4.0169;97.85781;0.711697;17.29162;97.94865;0.8079075;10.31963;420.019;13.82412
67.77184;375.0822;5.759264;1.000126;95.49743;71.19069;6.84994;98.59099;6.649413;2316.467;-2.772859;65.25966;31.75762;155.491;4.020275;97.82447;0.6684167;16.43904;98.02267;0.7515623;10.52488;387.1407;12.99896
67.77091;575.2316;10.7785;1.326226;95.5734;70.99339;8.92147;98.67213;8.6887;2689.761;-7.202257;64.70296;36.02682;164.1021;4.037868;98.99245;0.8930236;19.16618;98.03326;0.9946236;10.43879;615.8063;16.59051
67.76759;382.1185;5.515433;1.035822;95.31504;71.18072;7.316619;98.59897;7.112112;2406.617;-4.482169;65.09462;32.7756;157.1286;4.010608;97.67812;0.6951867;17.15985;98.03361;0.7792664;10.56788;395.5323;13.75865
67.75777;429.5451;5.785038;0.8898735;95.37202;70.91728;6.284506;98.32303;6.111582;2224.984;-6.144787;65.25145;30.57501;154.2957;4.007082;97.86012;0.5850574;15.91951;97.9547;0.6744131;10.39379;435.4677;11.99957
67.74435;429.8072;5.7393;0.8918725;95.43544;70.92381;6.158919;98.32911;5.98585;2199.332;-5.852318;65.29995;30.24693;154.34;4.002937;97.86541;0.5856404;15.73002;97.97929;0.6749097;10.47285;438.917;11.77424
67.73727;343.9236;5.531558;1.050136;95.5669;71.08379;7.163572;98.48426;6.962331;2387.809;-5.52173;64.9432;32.49638;156.5641;4.02405;97.82565;0.6980762;16.99517;98.04317;0.7886382;10.46289;350.9429;13.49807
67.73113;429.7884;5.64641;1.000151;95.49868;70.92918;6.857855;98.33121;6.664419;2329.739;-4.726399;65.00753;31.8767;157.0731;4.005805;97.86046;0.6611476;16.63274;97.94769;0.7525741;10.3065;443.6691;12.99639
67.72541;367.4552;5.732545;0.850102;95.35741;70.90416;5.729732;98.31086;5.572542;2125.43;-6.349307;65.33423;29.43637;152.301;4.003948;97.8576;0.5571771;15.24988;97.96556;0.6448089;10.42944;371.6509;10.9917
67.71165;385.3154;5.778424;0.8898649;95.26511;70.88328;6.282869;98.30582;6.115492;2230.88;-6.385444;65.16953;30.55424;154.1835;4.010198;97.85509;0.5841482;16.00625;97.9749;0.6750777;10.37854;389.2227;11.99963
67.704;378.4285;5.77835;1.011684;95.75416;71.25147;6.941111;98.60067;6.736598;2326.439;-1.954662;65.13934;31.97704;157.7855;4.012838;97.83909;0.6776299;16.52082;98.01562;0.7606285;10.53046;390.102;13.14666
67.70313;355.9813;5.452461;1.053364;95.70818;71.22369;7.207418;98.61417;6.999377;2385.351;-3.041667;64.98199;32.59422;158.0292;4.012281;97.85329;0.7040623;16.98598;98.01331;0.7909857;10.47337;364.6585;13.57984
67.68945;384.202;5.4067;1.060352;95.25393;70.99129;7.092513;98.48196;6.893857;2368.235;-3.399406;65.06076;32.38267;154.3815;4.023659;97.61458;0.705966;16.8274;97.9987;0.7965177;10.52923;400.7639;13.40009
67.68113;415.3439;5.788697;0.8898752;95.3206;70.90739;6.28474;98.31868;6.114868;2229.002;-6.238107;65.13232;30.58567;154.1119;4.012105;97.86333;0.5846767;15.96094;97.97359;0.6748101;10.37716;419.7748;12.00017
67.67836;414.1433;5.458573;1.109164;95.3046;70.8765;7.244389;98.31292;7.03513;2410.625;-8.01119;64.53272;32.72691;158.6675;4.048123;97.87816;0.7355893;17.14641;97.93414;0.8341777;10.49731;426.9359;13.59286
67.67813;384.0315;5.585202;1.059581;95.54082;71.18415;7.377536;98.55661;7.167456;2408.758;-2.813454;64.97736;32.95857;158.1803;4.011682;97.69969;0.7098346;17.123;98.00163;0.7958623;10.5443;396.061;13.86684
67.67275;434.4368;5.708966;1.000119;95.46078;70.95225;6.855128;98.34112;6.661977;2330.033;-5.061725;65.048;31.90785;155.783;4.016308;97.86993;0.6618778;16.60832;97.96767;0.752637;10.31425;447.3111;12.99716
67.66507;371.3847;5.782653;0.8781226;95.38406;70.96461;6.115584;98.35878;5.950125;2192.958;-3.936188;65.19658;30.22802;154.2773;4.007326;97.86667;0.57669;15.74201;97.95896;0.665937;10.37674;375.0227;11.70448
