K5PS14_1.PV;K0P102_1.PV
4.164731;4.118456
4.140506;4.118456
4.169325;4.118456
4.197206;4.118456
4.195275;4.118456
4.1856;4.118456
4.1775;4.118456
4.203319;4.118438
4.19565;4.118438
4.192087;4.118437
4.186406;4.118437
4.139606;4.118419
4.188169;4.118419
4.18305;4.118419
4.140563;4.1184
4.153275;4.1184
4.197544;4.1184
4.198444;4.1184
4.1412;4.118382
4.143506;4.118382
4.148925;4.118381
4.202644;4.118381
4.194019;4.118381
4.1832;4.118381
4.179094;4.118381
4.148438;4.118362
4.183144;4.118362
4.192631;4.118344
4.139869;4.118325
4.147087;4.118325
4.143938;4.118325
4.142962;4.118325
4.197487;4.118325
4.18515;4.118325
4.138331;4.118306
4.138013;4.118306
4.16445;4.118306
4.178869;4.118306
4.145887;4.118288
4.145194;4.118288
4.189425;4.118288
4.1823;4.118288
4.183012;4.118288
4.181925;4.118288
4.181175;4.118269
4.139738;4.11825
4.183406;4.11825
4.181888;4.11825
4.141481;4.118231
4.181306;4.118231
4.144988;4.118213
4.143787;4.118213
4.184513;4.118213
4.199512;4.118213
4.182019;4.118212
4.18395;4.118212
4.147275;4.118194
4.194019;4.118194
4.191281;4.118194
4.197619;4.118175
4.202025;4.118175
4.2021;4.118175
4.195331;4.118175
4.193944;4.118175
4.144612;4.118156
4.145325;4.118156
4.142419;4.118156
4.178175;4.118156
4.180631;4.118156
4.179769;4.118156
4.172137;4.118156
4.152169;4.118137
4.144219;4.118137
4.150988;4.118137
4.191563;4.118137
4.181569;4.118137
4.1811;4.118137
4.182525;4.118137
4.179525;4.1181
4.185075;4.1181
4.184981;4.118082
4.193944;4.118081
4.180594;4.118081
4.146544;4.118062
4.141144;4.118062
4.201181;4.118062
4.19895;4.118044
4.195575;4.118044
4.192481;4.118044
4.1811;4.118044
4.176544;4.118044
4.145156;4.118025
4.150238;4.118025
4.13985;4.118006
4.151044;4.118006
4.19835;4.118006
4.144294;4.117988
4.142625;4.117988
4.144463;4.117988
4.146112;4.117988
4.16835;4.117988
4.198931;4.117988
4.19505;4.117988
4.180444;4.117988
4.144913;4.117969
4.179225;4.11795
4.179937;4.11795
4.146394;4.117931
4.193494;4.117931
4.177125;4.117931
4.196719;4.117931
4.182;4.117912
4.18005;4.117912
4.146544;4.117894
4.140056;4.117894
4.135856;4.117894
4.190362;4.117894
4.18815;4.117894
4.144631;4.117875
4.13775;4.117875
4.147781;4.117856
4.141125;4.117856
4.1793;4.117856
4.153519;4.117837
4.1409;4.117837
4.141237;4.117819
4.141875;4.117819
4.151362;4.117819
4.202644;4.117819
4.180013;4.117819
4.147481;4.1178
4.1442;4.1178
4.181813;4.1178
4.182431;4.1178
4.176262;4.1178
4.197769;4.117781
4.203506;4.117781
4.145362;4.117763
4.201331;4.117763
4.1826;4.117763
4.18065;4.117763
4.14525;4.117744
4.139606;4.117743
4.144387;4.117725
4.14015;4.117725
4.203675;4.117725
4.143713;4.117706
4.14255;4.117706
4.202906;4.117706
4.144388;4.117688
4.186162;4.117688
4.183819;4.117687
4.138125;4.117669
4.178831;4.117669
4.138631;4.11765
4.1424;4.11765
4.162687;4.11765
4.145475;4.11765
4.170487;4.11765
4.202269;4.11765
4.191469;4.11765
4.188787;4.11765
4.185019;4.11765
4.177181;4.11765
4.139494;4.117631
4.141219;4.117631
4.198219;4.117631
4.180106;4.117631
4.177312;4.117631
4.171012;4.117631
4.139981;4.117612
4.180444;4.117612
4.14465;4.117594
4.197375;4.117594
4.190156;4.117594
4.182094;4.117594
4.180369;4.117594
4.1814;4.117594
4.152712;4.117575
4.143075;4.117575
4.192313;4.117575
4.181775;4.117575
4.178437;4.117575
4.202175;4.117556
4.1472;4.117537
4.141013;4.117537
4.195594;4.117537
4.137562;4.117519
4.167281;4.117519
4.170563;4.117519
4.147969;4.117518
4.177369;4.117518
4.196813;4.1175
4.177931;4.1175
4.178044;4.1175
4.144106;4.117481
